key	index	subculture	category	screen_name	screen_adjective	name_group	skin	ui_skin	is_rebel	mp_available	mp_available_naval	icons_path_units	flags_path	republican_flag_path	same_gov_type_revolution_flag_path	military_group	settler_rebellion_faction	movie_death_event	mp_use_republic_early	mp_use_republic_late	unit_regiment_name_group	ship_name_group	attack_desc	defend_desc	mp_stats_name	pre_battle_speech_parameter	can_be_regionless	senator_total	uses_legion_names	can_be_horde	use_military_force_morale	mp_force_gen_template	win_movie	voiceover_subculture	primary_colour_hex	alt_primary_colour_hex	secondary_colour_hex	alt_secondary_colour_hex	rebel_colour_hex	uniform_colour_hex	alt_uniform_colour_hex	card_colour_hex
#factions_tables;19;db/factions_tables/_rex_factions																																										
venedi	2041791047	att_sub_cult_barbarian_germanic_east	playable	Venedians	Venedians	265	barbarian		false	true	true	data\ui\	data\ui\flags\Venethi	data\ui\flags\	data\ui\flags\	att_slav_venedi	att_faction_false		false	false	155	155	You are attacking the Venedians!	You are defending against the Venedians!		PBS_PARAMETER_UNUSED	true	100	false	true	true	default	att_barbarian_win	att_sub_cult_barbarian_germanic_east	C19949	000000	000000	000000	000000	000000	000000	537443
roxolani	2041791040	att_sub_cult_barbarian_germanic_east	playable	Roxolanians	Roxolanian	155	barbarian		false	true	true	data\ui\	data\ui\flags\ailech	data\ui\flags\	data\ui\flags\	att_slav_ante	att_faction_false	0	false	false	155	155	You are attacking the Roxolani!	You are defending against the Roxolani!		PBS_PARAMETER_UNUSED	true	100	false	true	true	att_mp_force_gen_ostrogoths		att_sub_cult_barbarian_germanic_east	838600	000000	000000	000000	000000	000000	000000	000000
attacoti	2041791064	att_sub_cult_barbarian_celtic	playable	Attacotians	Attacotian	108	barbarian		false	true	true	data\ui\	data\ui\flags\attacoti	data\ui\flags\	data\ui\flags\	att_cel_ebdani	att_faction_false		false	false	108	108	You are attacking the Ebdanians!	You are defending against the Ebdanians!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	att_mp_force_gen_ebdani	att_barbarian_win	att_sub_cult_barbarian_celtic	1C3617	000000	000000	000000	000000	000000	000000	957B74
absilae	2041791084	att_sub_cult_eastern_caucasian	playable	Absilae	Absilaens	149	eastern		false	false	false	data\ui\	data\ui\flags\absilae	data\ui\flags\	data\ui\flags\	rex_east_armenia	att_faction_false		false	false	122	122	You are attacking Abasgia!	You are defending against Abasgia!		PBS_PARAMETER_UNUSED	true	150	false	false	true	default		att_sub_cult_eastern_caucasian	AC6040	000000	000000	000000	000000	000000	000000	77B559
aorsi	2041791067	att_sub_cult_barbarian_germanic_east	playable	Aorsi	Aorsian	149	barbarian		false	false	false	data\ui\	data\ui\flags\aorsoi	data\ui\flags\	data\ui\flags\	rex_ger_roxolani	att_faction_false		false	false	92	92	You are attacking the Alans!	You are defending against the Alans!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	att_mp_force_gen_alans	att_barbarian_win	att_sub_cult_barbarian_germanic_east	635928	000000	000000	000000	000000	000000	000000	758835
blemmyes	2041791057	att_sub_cult_eastern_desert	playable	Blemmyes	Blemmyes	162	eastern		false	false	false	data\ui\	data\ui\flags\blemmyes	data\ui\flags\	data\ui\flags\	att_des_aksum	att_faction_false		false	false	121	121	You are attacking Nobatia!	You are defending against Nobatia!		PBS_PARAMETER_UNUSED	true	150	false	true	true	default		att_sub_cult_eastern_desert	E6BE82	000000	000000	000000	000000	000000	000000	EBD254
iazyges	2041791080	att_sub_cult_barbarian_germanic_east	playable	Iazyges	Iazyges	149	barbarian		false	false	false	data\ui\	data\ui\flags\iazyges	data\ui\flags\	data\ui\flags\	rex_ger_roxolani	att_faction_false		false	false	92	92	You are attacking the Alans!	You are defending against the Alans!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	att_mp_force_gen_alans	att_barbarian_win	att_sub_cult_barbarian_germanic_east	635928	000000	000000	000000	000000	000000	000000	758835
att_fact_venedi	2041790288	att_sub_cult_barbarian_germanic_east	playable	Aestii	Aestian	265	barbarian		false	false	false	data\ui\	data\ui\flags\aestii	data\ui\flags\	data\ui\flags\	att_slav_venedi	att_faction_false		false	false	155	155	You are attacking the Venedians!	You are defending against the Venedians!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	default	att_barbarian_win	att_sub_cult_barbarian_germanic_east	C19949	000000	000000	000000	000000	000000	000000	537443
att_fact_white_huns	2041790970	att_sub_cult_nomadic_hunnic	playable	Older Huns	Hunnic	132	nomadic		false	true	false	data\ui\	data\ui\flags\WhiteHunsSep	data\ui\flags\	data\ui\flags\	att_nom_huns	att_faction_false		false	false	132	132	You are attacking the White Huns!	You are defending against the White Huns!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	att_mp_force_gen_huns	att_nomadic_win	att_sub_cult_nomadic_hunnic	F9F9CD	F9F9CD	2C4815	2C4815	6B1707	6B1707	6B1707	000000
att_fact_magyars	2041790235	att_sub_cult_nomadic_hunnic	playable	Average Huns	Hunnic	132	nomadic		false	false	false	data\ui\	data\ui\flags\Magyars	data\ui\flags\	data\ui\flags\	att_nom_core	att_faction_false		false	false	132	132	You are attacking the Magyars!	You are defending against the Magyars!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	default		att_sub_cult_nomadic_hunnic	635928	000000	000000	000000	000000	000000	000000	7A1638
att_fact_budini	2041790196	att_sub_cult_nomadic_sarmatian	playable	Junior Huns	Hunnic	149	nomadic		false	false	false	data\ui\	data\ui\flags\Budini	data\ui\flags\	data\ui\flags\	att_nom_core	att_faction_false		false	false	149	149	You are attacking the Budini!	You are defending against the Budini!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	default		att_sub_cult_nomadic_sarmatian	73663C	000000	000000	000000	000000	000000	000000	B2A39E
att_fact_hunni	2041790222	att_sub_cult_barbarian_celtic	playable	Robbers	Robbers	108	barbarian		false	false	false	data\ui\	data\ui\flags\Hunni	data\ui\flags\	data\ui\flags\	net	att_faction_false		false	false	108	108	You are attacking the Caledonians!	You are defending against the Caledonians!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	default		att_sub_cult_barbarian_celtic	88AAD2	000000	000000	000000	000000	000000	000000	CA9518
att_fact_rebel_germanic_east	2041790215	att_sub_cult_barbarian_germanic_east	playable	Eastern Germanic Rebels	Germanic	155	barbarian		true	false	false	data\ui\	data\ui\flags\Rebels_Germanic_East	data\ui\flags\	data\ui\flags\	att_ger_vandals	att_faction_false		false	false	92	92	You are attacking Eastern Germanic Rebels!	You are defending against Eastern Germanic Rebels!		PBS_PARAMETER_UNUSED	true	1200	false	true	false	default		att_sub_cult_barbarian_germanic_east	5B5B5B	000000	000000	000000	000000	000000	000000	797709
att_fact_rebel_germanic_north	2041790216	att_sub_cult_barbarian_germanic_north	playable	Northern Germanic Rebels	Germanic	111	barbarian		true	false	false	data\ui\	data\ui\flags\Rebels_Germanic_North	data\ui\flags\	data\ui\flags\	att_ger_core	att_faction_false		false	false	92	92	You are attacking Northern Germanic Rebels!	You are defending against Northern Germanic Rebels!		PBS_PARAMETER_UNUSED	true	1200	false	true	false	default		att_sub_cult_barbarian_germanic_north	5B5B5B	000000	000000	000000	000000	000000	000000	9DC06F
att_fact_rebel_germanic_west	2041790217	att_sub_cult_barbarian_germanic_west	playable	Western Germanic Rebels	Germanic	92	barbarian		true	false	false	data\ui\	data\ui\flags\Rebels_Germanic_West	data\ui\flags\	data\ui\flags\	att_ger_core	att_faction_false		false	false	92	92	You are attacking Western Germanic Rebels!	You are defending against Western Germanic Rebels!		PBS_PARAMETER_UNUSED	true	1200	false	true	false	default		att_sub_cult_barbarian_germanic_west	5B5B5B	000000	000000	000000	000000	000000	000000	E6D8CB
att_fact_rebel_eastern_roman	2041790205	att_sub_cult_roman_east	playable	Eastern Roman Rebels	Eastern Roman	133	default		true	false	false	data\ui\	data\ui\flags\Rebels_EastRoman	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Eastern Roman Rebels!	You are defending against Eastern Roman Rebels!		PBS_PARAMETER_UNUSED	true	500	false	false	false	default		att_sub_cult_roman_east	5B5B5B	000000	000000	000000	000000	000000	000000	664036
att_fact_rebel_western_roman	2041790269	att_sub_cult_roman_west	playable	Western Roman Rebels	Western Roman	133	default		true	false	false	data\ui\	data\ui\flags\Rebels_WestRoman	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Western Roman Rebels!	You are defending against Western Roman Rebels!		PBS_PARAMETER_UNUSED	true	500	false	false	false	default		att_sub_cult_roman_west	5B5B5B	000000	000000	000000	000000	000000	000000	163307
att_fact_separatist_eastern_roman	2041790206	att_sub_cult_roman_east	playable	Eastern Roman Separatists	Eastern Roman	133	default		false	false	false	data\ui\	data\ui\flags\EasternRomanSeparatists	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Eastern Roman Separatists!	You are defending against Eastern Roman Separatists!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_east	3D5675	000000	000000	000000	000000	000000	000000	664036
att_fact_separatist_eastern_roman_npc	2041790349	att_sub_cult_roman_east	playable	Roman Separatists	Eastern Roman	133	default		false	false	false	data\ui\	data\ui\flags\Rebels_EastRoman	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Roman Separatists!	You are defending against Roman Separatists!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_east	5B5B5B	000000	000000	000000	000000	000000	000000	664036
att_fact_separatist_germanic_east	2041790281	att_sub_cult_barbarian_germanic_east	playable	East Germanic Separatists	Germanic	155	barbarian		false	false	false	data\ui\	data\ui\flags\EastGermanicSeparatists	data\ui\flags\	data\ui\flags\	att_ger_vandals	att_faction_false		false	false	92	92	You are attacking East Germanic Separatists!	You are defending against East Germanic Separatists!		PBS_PARAMETER_UNUSED	true	1200	false	true	false	default		att_sub_cult_barbarian_germanic_east	5C5740	000000	000000	000000	000000	000000	000000	797709
att_fact_separatist_germanic_north	2041790282	att_sub_cult_barbarian_germanic_north	playable	North Germanic Separatists	Germanic	111	barbarian		false	false	false	data\ui\	data\ui\flags\NorthGermanicSeparatists	data\ui\flags\	data\ui\flags\	att_ger_core	att_faction_false		false	false	92	92	You are attacking North Germanic Separatists!	You are defending against North Germanic Separatists!		PBS_PARAMETER_UNUSED	true	1200	false	true	false	default		att_sub_cult_barbarian_germanic_north	57632F	000000	000000	000000	000000	000000	000000	9DC06F
att_fact_separatist_germanic_west	2041790283	att_sub_cult_barbarian_germanic_west	playable	West Germanic Separatists	Germanic	92	barbarian		false	false	false	data\ui\	data\ui\flags\WestGermanicSeparatists	data\ui\flags\	data\ui\flags\	att_ger_core	att_faction_false		false	false	92	92	You are attacking Western Germanic Separatists!	You are defending against Western Germanic Separatists!		PBS_PARAMETER_UNUSED	true	1200	false	true	false	default		att_sub_cult_barbarian_germanic_west	5A7133	000000	000000	000000	000000	000000	000000	E6D8CB
att_fact_separatist_ostrogothic	2041790244	att_sub_cult_barbarian_germanic_east	playable	Ostrogothic Separatists	Ostrogothic	155	barbarian		false	false	false	data\ui\	data\ui\flags\OstrogothicSeparatists	data\ui\flags\	data\ui\flags\	att_ger_ostrogoths	att_faction_false		false	false	92	92	You are attacking Ostrogothic Separatists!	You are defending against Ostrogothic Separatists!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	default		att_sub_cult_barbarian_germanic_east	CCD8F2	000000	000000	000000	000000	000000	000000	938704
