building	culture	subculture	faction	battlefield_building	artpiece	artpiece_animated	description	icon	disables	short_description	flavour	display_tooltip
#building_culture_variants_tables;3;db/building_culture_variants_tables/building_culture_variants												
att_abandoned_0	att_cult_barbarian				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_settlement_ruin	false	att_bld_all_ruins		true
att_abandoned_0	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_settlement_ruin	false	att_bld_all_ruins		true
att_abandoned_0	att_cult_nomadic				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_settlement_ruin	false	att_bld_all_ruins		true
att_abandoned_0	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_settlement_ruin	false	att_bld_all_ruins		true
att_abandoned_0	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_settlement_ruin	false	att_bld_all_ruins		true
att_bld_all_agriculture_generic_1	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_agriculture_generic_1	false	att_bld_all_agriculture_generic_1	att_bld_all_agriculture_generic_1	true
att_bld_all_agriculture_generic_1	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_agriculture_generic_1	false	att_bld_all_agriculture_generic_1	att_bld_all_agriculture_generic_1	true
att_bld_all_agriculture_generic_1	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_agriculture_generic_1	false	att_bld_all_agriculture_generic_1	att_bld_all_agriculture_generic_1	true
att_bld_all_agriculture_grain_2	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_agriculture_grain_2	false	att_bld_all_agriculture_grain_2	att_bld_all_agriculture_grain_2	true
att_bld_all_agriculture_grain_2	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_agriculture_grain_2	false	att_bld_all_agriculture_grain_2	att_bld_all_agriculture_grain_2	true
att_bld_all_agriculture_grain_2	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_agriculture_grain_2	false	att_bld_all_agriculture_grain_2	att_bld_all_agriculture_grain_2	true
att_bld_all_agriculture_grain_3	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_agriculture_grain_3	false	att_bld_all_agriculture_grain_3	att_bld_all_agriculture_grain_3	true
att_bld_all_agriculture_grain_3	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_agriculture_grain_3	false	att_bld_all_agriculture_grain_3	att_bld_all_agriculture_grain_3	true
att_bld_all_agriculture_grain_3	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_agriculture_grain_3	false	att_bld_all_agriculture_grain_3	att_bld_all_agriculture_grain_3	true
