key	text	tooltip
#Loc;1;text/db/__land_units.loc		
land_units_onscreen_name_rex_sarm_hunting_dogs	 Kujtæ K'ward 	true
land_units_onscreen_name_rex_sarm_regal_warband_g	Ældar Bal	true
land_units_onscreen_name_rex_sarm_regal_warband	Ældar Bal	true
land_units_onscreen_name_rex_sarm_comrades	Æmbal Bal	true
land_units_onscreen_name_rex_sarm_oathbound_warband_limicantes	Ærdhward Bal — Limæntæ	true
land_units_onscreen_name_rex_sarm_glittering_warband_limicantes	Ærttivag Bal — Limæntæ	true
land_units_onscreen_name_rex_des_axum_levy	Aksum Levy	true
land_units_onscreen_name_rex_des_axum_elephants	Aksum War Elephants	true
land_units_onscreen_name_rex_rom_ala	Ala (limitan)	true
land_units_onscreen_name_rex_rom_ala_britonum	Ala Britonum (limitan)	true
land_units_onscreen_name_rex_rom_ala_dromedariorum	Ala Dromedariorum (limitan)	true
land_units_onscreen_name_rex_rom_ala_gallorum	Ala Gallorum (limitan)	true
land_units_onscreen_name_rex_rom_ala_sequanorum	Ala Sequanorum (limitan)	true
land_units_onscreen_name_rex_east_albanians	Albanian Skirmishers	true
land_units_onscreen_name_rex_sarm_allan_bal	Allan Bal	true
land_units_onscreen_name_rex_des_axum_allied_defenders	Allied Defenders	true
land_units_onscreen_name_rex_east_arm_anazat	Anazats	true
land_units_onscreen_name_rex_slav_ant_cavalry	Antes Cavalry	true
land_units_onscreen_name_rex_slav_ant_squad_horsemen	Antes Horsemen	true
land_units_onscreen_name_rex_arab_scouts	Arab Scouts	true
land_units_onscreen_name_rex_east_arab_spearmen	Arab Spearmen	true
land_units_onscreen_name_rex_arab_arabic_cavalry	Arabic Cavalry	true
land_units_onscreen_name_rex_arab_arabic_dromedaries	Arabic Dromedaries	true
land_units_onscreen_name_rex_arab_levy	Arabic Levy	true
land_units_onscreen_name_rex_east_arm_anazat_bow	Archers Anazats	true
land_units_onscreen_name_rex_slav_ant_band_archers	Archers Antes	true
land_units_onscreen_name_rex_slav_ven_band_archers	Archers Venedians	true
land_units_onscreen_name_rex_sarm_spears_limicantes	Arctæ — Limæntæ	true
land_units_onscreen_name_rex_east_arm_archers	Armenian Archers	true
land_units_onscreen_name_rex_east_armenian_ayrudzi_archers	Armenian Archers Ayrudzi	true
land_units_onscreen_name_rex_east_armenian_ayrudzi	Armenian Ayrudzi	true
land_units_onscreen_name_rex_east_arm_infantry	Armenian Infantry	true
land_units_onscreen_name_rex_hun_arrows_limicantes	Arrows Scirii	true
land_units_onscreen_name_rex_arab_athars_chosen	Athar’s Chosen	true
land_units_onscreen_name_rex_rom_auxiliarii_ampsivarii	Auxiliares Ampsivarii	true
land_units_onscreen_name_rex_rom_auxiliarii_anglevarii	Auxiliares Anglevarii	true
land_units_onscreen_name_rex_rom_auxiliarii_atecotti_iuniores	Auxiliares Atecotti iuniores	true
land_units_onscreen_name_rex_rom_auxiliarii_atecotti_seniores	Auxiliares Atecotti seniores (palatina)	true
land_units_onscreen_name_att_rom_ballistarii	Auxiliares Balistarii	true
land_units_onscreen_name_rex_rom_auxiliarii_batavi_iuniores	Auxiliares Batavi iuniores	true
land_units_onscreen_name_rex_rom_auxiliarii_batavi_seniores	Auxiliares Batavi seniores (palatina)	true
land_units_onscreen_name_rex_rom_auxiliarii_brachiati_iuniores	Auxiliares Brachiati iuniores	true
land_units_onscreen_name_rex_rom_auxiliarii_brachiati_seniores	Auxiliares Brachiati seniores (palatina)	true
land_units_onscreen_name_rex_rom_auxiliarii_brisigavi_iuniores	Auxiliares Brisigavi iuniores	true
land_units_onscreen_name_rex_rom_auxiliarii_brisigavi_seniores	Auxiliares Brisigavi seniores (palatina)	true
land_units_onscreen_name_rex_rom_auxiliarii_bructeri	Auxiliares Bructeri	true
land_units_onscreen_name_rex_rom_auxiliarii_bucinobantes	Auxiliares Bucinobantes	true
land_units_onscreen_name_rex_rom_auxiliarii_celtae_iuniores	Auxiliares Celtae iuniores	true
land_units_onscreen_name_rex_rom_auxiliarii_celtae_seniores	Auxiliares Celtae seniores (palatina)	true
land_units_onscreen_name_rex_rom_auxiliarii_cornuti_iuniores	Auxiliares Cornuti iuniores	true
land_units_onscreen_name_rex_rom_auxiliarii_cornuti_seniores	Auxiliares Cornuti seniores (palatina)	true
land_units_onscreen_name_rex_rom_auxiliarii_defensores	Auxiliares Defensores	true
land_units_onscreen_name_rex_exculcatores	Auxiliares Exculcatores	true
land_units_onscreen_name_rex_rom_auxiliarii_insidiatorum	Auxiliares Insidiatorum (limitan)	true
