key	text	tooltip
#Loc;1;text/db/_regions.loc		
regions_onscreen_cha_reg_franconia_frankfurt	Frankfurt	true
regions_battle_name_cha_reg_gascony_bordeaux	Bordeaux	true
regions_onscreen_bel_reg_tuscia_et_umbria_faesulae	Faesulae	true
regions_onscreen_att_reg_bithynia_nicomedia	Nicomedia	true
regions_onscreen_att_reg_gallaecia_brigantium	Brigantium	true
regions_onscreen_att_reg_hercynia_budorgis	Budorgis	true
regions_battle_name_cha_reg_northumbria_york	York	true
regions_onscreen_att_reg_belgica_colonia_agrippina	Colonia Agrippina	true
regions_onscreen_att_reg_belgica_durocorterum	Durocortorum	true
regions_onscreen_cha_sea_lake	Lake	true
regions_onscreen_bel_reg_byzacena_thysdrus	Thysdrus	true
regions_battle_name_att_reg_aethiopia_aksum	Aksum	true
regions_battle_name_att_reg_media_atropatene_rhaga	Rhaga	true
regions_battle_name_cha_sea_atlantic_ocean	Atlantic Ocean	true
regions_onscreen_att_sea_sinus_syracusanus	Sinus Syracusanus	true
regions_battle_name_att_reg_mediterraneus_orientalis_gortyna	Gortyna	true
regions_battle_name_cha_reg_exarchate_ancona	Ancona	true
regions_onscreen_bel_reg_picenum_suburbicarium_ancona	Ancona	true
regions_onscreen_cha_reg_munster_cork	Cork	true
regions_onscreen_bel_reg_tuscia_et_umbria_arretium	Arretium	true
regions_battle_name_bel_reg_sicilia_syracuse	Syracuse	true
regions_onscreen_att_reg_tarraconensis_caesaraugusta	Caesaraugusta	true
regions_onscreen_att_reg_sarmatia_asiatica_samandar	Samandar	true
regions_battle_name_cha_reg_obodrites_rerik	Rerik	true
regions_battle_name_att_reg_terra_incognita	Terra Incognita	true
regions_battle_name_att_reg_pannonia_sirmium	Sirmium	true
regions_onscreen_bel_reg_austrasia_remorum	Remorum	true
regions_onscreen_cha_reg_rome_siena	Siena	true
regions_onscreen_cha_reg_gascony_agen	Agen	true
regions_onscreen_cha_reg_west_neustria_nantes	Nantes	true
regions_onscreen_bel_reg_byzacena_sufetula	Sufetula	true
regions_onscreen_att_reg_mediterraneus_orientalis_constantia	Constantia	true
regions_battle_name_att_reg_syria_antiochia	Antiochia	true
regions_battle_name_att_sea_mare_tyrrhenum	Mare Tyrrhenum	true
regions_battle_name_att_reg_sarmatia_asiatica_tanais	Tanais	true
regions_battle_name_cha_reg_leon_valladoid	Valladoid	true
regions_battle_name_bel_reg_austrasia_mettis	Mettis	true
regions_onscreen_att_reg_caledonia_et_hibernia_tuesis	Tuesis	true
regions_onscreen_att_reg_dacia_romula	Romula	true
regions_onscreen_att_reg_sarmatia_europaea_gelonus	Gelonus	true
regions_onscreen_att_reg_aquitania_burdigala	Burdigala	true
regions_battle_name_att_reg_dardania_serdica	Serdica	true
regions_battle_name_att_reg_media_atropatene_ganzaga	Ganzaga	true
regions_onscreen_att_reg_raetia_et_noricum_iuvavum	Iuvavum	true
regions_battle_name_att_sea_danuvius	Danuvius	true
regions_battle_name_cha_reg_marca_hispanica_tarragona	Tarragona	true
regions_onscreen_cha_reg_rome_spoleto	Spoleto	true
regions_battle_name_bel_reg_cantabria_legio	Legio	true
regions_battle_name_bel_reg_tuscia_et_umbria_pisae	Pisae	true
regions_battle_name_cha_reg_alemannia_basel	Basel	true
regions_battle_name_att_reg_baetica_hispalis	Hispalis	true
regions_onscreen_cha_reg_rome_roma	Roma	true
regions_onscreen_bel_reg_sardinia_et_corsica_aleria	Aleria	true
regions_onscreen_att_reg_cilicia_myra	Myra	true
regions_onscreen_att_reg_armenia_tosp	Tosp	true
regions_onscreen_bel_sea_mare_africum	Mare Africum	true
regions_onscreen_bel_reg_provence_massilia	Massilia	true
regions_onscreen_att_reg_sarmatia_asiatica_anacopia	Anacopia	true
regions_onscreen_cha_reg_exarchate_ravenna	Ravenna	true
regions_onscreen_cha_reg_wessex_winchester	Winchester	true
regions_battle_name_bel_sea_mare_tyrrhenum	Mare Tyrrhenum	true
regions_onscreen_cha_reg_east_neustria_amiens	Amiens	true
regions_onscreen_bel_reg_mauretania_tingitana_anfa	Anfa	true
regions_onscreen_att_reg_germania_lupfurdum	Lupfurdum	true
regions_battle_name_att_reg_germania_uburzis	Uburzis	true
regions_battle_name_cha_reg_wales_mathrafal	Mathrafal	true
regions_battle_name_bel_sea_oceanus_gallicus	Oceanus Gallicus	true
regions_onscreen_cha_reg_wessex_canterbury	Canterbury	true
regions_battle_name_cha_reg_austrasia_aachen	Aachen	true
regions_battle_name_cha_reg_lombardy_pavia	Pavia	true
regions_onscreen_cha_reg_exarchate_bologna	Bologna	true
regions_onscreen_cha_sea_ligurian_sea	Ligurian Sea	true
regions_onscreen_cha_reg_gallicia_santiago	Santiago	true
regions_onscreen_bel_reg_burgundy_besantio	Besantio	true
regions_battle_name_bel_reg_lucania_et_brutii_rhegium	Rhegium	true
regions_onscreen_cha_sea_balearic_sea	Balearic Sea	true
regions_battle_name_att_reg_venetia_aquileia	Aquileia	true
regions_onscreen_att_reg_caucasia_mtskheta	Mtskheta	true
regions_onscreen_att_reg_gothiscandza_gothiscandza	Gothiscandza	true
regions_onscreen_bel_reg_dalmatia_tarsatica	Tarsatica	true
regions_onscreen_att_reg_gallaecia_bracara	Bracara	true
regions_onscreen_bel_reg_gallaecia_bracara	Bracara	true
regions_battle_name_bel_reg_lucania_et_brutii_crotona	Crotona	true
regions_battle_name_bel_reg_praeualitana_epidaurum	Epidaurum	true
regions_onscreen_att_reg_britannia_inferior_eboracum	Eboracum	true
regions_onscreen_bel_sea_lake	Lake	true
regions_onscreen_bel_reg_byzacena_hadrumentum	Hadrumentum	true
regions_battle_name_att_reg_mediterraneus_orientalis_rhodes	Rhodes	true
regions_battle_name_att_reg_thracia_constantinopolis	Constantinopolis	true
regions_battle_name_att_reg_sarmatia_europaea_chersonessus	Chersonessus	true
regions_onscreen_cha_reg_gharb_al_anadalus_seville	Seville	true
regions_battle_name_att_reg_palaestinea_aila	Aila	true
regions_battle_name_att_reg_transcaspia_kath	Kath	true
regions_onscreen_cha_reg_marca_media_caceres	Caceres	true
regions_onscreen_att_reg_britannia_inferior_lindum	Lindum	true
regions_onscreen_cha_reg_septimania_urgell	Urgell	true
regions_onscreen_att_reg_asia_synnada	Synnada	true
regions_onscreen_att_reg_germania_aregelia	Aregelia	true
regions_onscreen_att_reg_khwarasan_abarshahr	Abarshahr	true
regions_battle_name_cha_reg_sicilia_syracuse	Syracuse	true
regions_battle_name_cha_reg_sicilia_panormos	Panormos	true
regions_onscreen_cha_reg_pictland_dumbarton	Dumbarton	true
regions_onscreen_bel_reg_brittany_osismorum	Osismorum	true
regions_battle_name_cha_reg_navarre_saragossa	Zaragoza	true
regions_onscreen_att_reg_dacia_apulum	Apulum	true
regions_onscreen_cha_reg_leon_leon	Leon	true
regions_onscreen_att_reg_hercynia_nitrahwa	Nitrahwa	true
regions_onscreen_bel_reg_terra_incognita_transalpina	Terra Incognita	true
regions_battle_name_cha_reg_bavaria_augsburg	Augsburg	true
regions_onscreen_att_reg_macedonia_corinthus	Corinthus	true
regions_onscreen_cha_reg_valencia_valencia	Valencia	true
regions_onscreen_att_reg_mauretania_tingis	Tingis	true
regions_battle_name_att_sea_mare_illyricum	Mare Illyricum	true
regions_onscreen_cha_sea_gulf_of_lion	Gulf of Lion	true
regions_onscreen_cha_reg_pannonia_kaposvar	Kaposvar	true
regions_onscreen_cha_reg_benevento_benevento	Benevento	true
regions_battle_name_cha_reg_austrasia_trier	Trier	true
regions_onscreen_att_reg_pannonia_sopianae	Sopianae	true
regions_onscreen_cha_reg_benevento_salerno	Salerno	true
regions_battle_name_cha_reg_leon_santander	Santander	true
regions_battle_name_att_reg_libya_ptolemais	Ptolemais	true
regions_onscreen_att_reg_syria_tyrus	Tyrus	true
regions_battle_name_att_reg_khwarasan_harey	Harev	true
regions_battle_name_att_sea_oceanus_gallicus	Oceanus Gallicus	true
regions_onscreen_att_reg_arabia_felix_zafar	Zafar	true
regions_onscreen_cha_reg_wilzi_brandenburg	Brandenburg	true
regions_onscreen_cha_sea_mediterranean_sea	Mediterranean Sea	true
regions_onscreen_att_reg_britannia_superior_corinium	Corinium	true
regions_onscreen_att_reg_transcaspia_dahistan	Dahistan	true
regions_battle_name_bel_reg_terra_incognita	Terra Incognita	true
regions_battle_name_cha_reg_brittany_st_malo	St-Malo	true
regions_onscreen_att_reg_arabia_magna_hira	Hira	true
