unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/_rex_des_main_units																															
rex_townsfolks_des		0	light	1	false	rex_townsfolks_des	200	0	100	att_cor_heavy_rom	1	40	160	0	100			0	very_light	-1		false	false	0	15714	true		eastern	att_inf_javelin_land	att_special_transportship_naval	1
rex_des_axum_levy		0	light	1	false	rex_des_axum_levy	300	0	175	att_cor_heavy_rom	1	40	160	0	175			25	very_light	-1		false	false	0	15715	true		eastern	att_inf_javelin_land	att_special_transportship_naval	1
rex_des_axum_spears		0	light	2	false	rex_des_axum_spears	300	0	240	att_cor_heavy_rom	1	40	160	0	240			35	very_light	-1		false	false	0	15716	true		eastern	att_inf_spear_land	att_special_transportship_naval	2
rex_des_axum_allied_defenders		0	light	2	false	rex_des_axum_allied_defenders	300	0	210	att_cor_heavy_rom	1	40	160	0	210			30	very_light	-1		false	false	0	15717	true		eastern	att_inf_spear_land	att_special_transportship_naval	2
rex_des_axum_caravan_sentinels		0	light	2	false	rex_des_axum_caravan_sentinels	200	0	275	att_cor_heavy_rom	1	40	60	0	275			40	light	-1		false	false	0	15718	true		eastern	att_cav_melee_land	att_special_transportship_naval	2
rex_des_axum_shotelai		0	light	2	false	rex_des_axum_shotelai	300	0	350	att_cor_heavy_rom	1	40	160	0	350			50	very_light	-1		false	false	0	15719	true		eastern	att_inf_sword_land	att_special_transportship_naval	2
rex_des_axum_kushite_archers		0	light	2	false	rex_des_axum_kushite_archers	200	0	250	att_cor_heavy_rom	1	40	160	0	250			30	very_light	-1		false	false	0	15720	true		eastern	att_inf_bow_land	att_special_transportship_naval	2
rex_des_axum_elite_kushite_archers		15	medium	2	false	rex_des_axum_elite_kushite_archers	200	0	390	att_cor_heavy_rom	1	40	160	0	390			50	light	-1		false	false	0	15721	true		eastern	att_inf_bow_land	att_special_transportship_naval	3
rex_des_axum_masqal_sentinels		21	medium	2	false	rex_des_axum_masqal_sentinels	300	0	450	att_cor_heavy_rom	1	40	160	0	450			55	light	-1		false	false	0	15722	true		eastern	att_inf_spear_land	att_special_transportship_naval	3
