unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/_rex_east_main_units																															
att_est_armoured_indian_elephants		2	heavy	3	false	rex_east_armoured_indian_elephants	40	0	2175	att_cor_light_rom	1	6	24	0	2175			275	heavy	-1		false	false	0	15305	true	AOR_Kushan	eastern	att_cav_elephant_land	att_special_transportship_naval	3
att_est_indian_elephants		7	medium	3	false	rex_east_indian_elephants	40	0	1475	att_cor_light_rom	1	6	24	0	1475			220	medium	-1		false	false	0	15306	true	AOR_Kushan	eastern	att_cav_elephant_land	att_special_transportship_naval	2
att_est_naft_throwers		7	medium	2	false	rex_east_naft_throwers	200	0	850	att_cor_heavy_rom	1	10	40	0	850			80	medium	-1		false	false	0	5525	true		eastern	att_special_grenade_land	att_special_transportship_naval	3
att_est_camel_clibanarii		5	heavy	2	false	rex_east_camel_clibanarii	200	0	1350	att_cor_heavy_rom	1	20	80	0	1350			80	super_heavy	-1		false	false	0	5524	true		eastern	att_cav_shock_land	att_special_transportship_naval	3
rex_east_arm_anazat		0	light	1	false	rex_east_arm_anazat	300	0	220	att_cor_heavy_rom	1	40	160	0	220			30	light	-1		false	false	0	15290	true		eastern	rex_spear_sling	att_special_transportship_naval	1
rex_east_sas_vastrioshan		0	light	1	false	rex_east_sas_vastrioshan	300	0	180	att_cor_heavy_rom	1	40	160	0	180			25	very_light	-1		false	false	0	15291	true		eastern	rex_spear_sling	att_special_transportship_naval	1
rex_east_arm_anazat_skirm		0	light	1	false	rex_east_arm_anazat_skirm	200	0	150	att_cor_heavy_rom	1	40	160	0	150			20	very_light	-1		false	false	0	15292	true		eastern	att_inf_javelin_land	att_special_transportship_naval	1
rex_east_arm_anazat_bow		0	light	1	false	rex_east_arm_anazat_bow	200	0	150	att_cor_heavy_rom	1	40	160	0	150			20	very_light	-1		false	false	0	15293	true		eastern	att_inf_bow_land	att_special_transportship_naval	1
rex_east_sas_vastrioshan_bow		0	light	1	false	rex_east_sas_vastrioshan_bow	200	0	140	att_cor_heavy_rom	1	40	160	0	140			20	very_light	-1		false	false	0	15294	true		eastern	att_inf_bow_land	att_special_transportship_naval	1
rex_east_sas_paygan_gond		6	light	1	false	rex_east_sas_paygan_gond	500	0	300	att_cor_heavy_rom	1	40	160	0	300			40	very_light	-1		false	false	0	15295	true		eastern	rex_spear_sling	att_special_transportship_naval	1
rex_east_arm_infantry		0	light	2	false	rex_east_arm_infantry	300	0	290	att_cor_heavy_rom	1	40	160	0	290			40	light	-1		false	false	0	15296	true		eastern	rex_spear_sling	att_special_transportship_naval	2
rex_east_sas_paygan		0	light	2	false	rex_east_sas_paygan	300	0	255	att_cor_heavy_rom	1	40	160	0	255			35	very_light	-1		false	false	0	15297	true		eastern	rex_spear_sling	att_special_transportship_naval	2
rex_east_scouts		5	light	1	false	rex_east_scouts	100	0	200	att_cor_heavy_rom	1	40	60	0	200			25	very_light	-1		false	false	0	15298	true		eastern	att_cav_melee_land	att_special_transportship_naval	2
rex_east_sas_savaran_light		0	light	1	false	rex_east_sas_savaran_light	200	0	255	att_cor_heavy_rom	1	40	60	0	255			30	very_light	-1		false	false	0	15299	true		eastern	att_cav_melee_land	att_special_transportship_naval	2
rex_east_sas_savaran_camel		0	light	1	false	rex_east_sas_savaran_camel	200	0	275	att_cor_heavy_rom	1	40	60	0	275			35	light	-1		false	false	0	15300	true		eastern	att_cav_javelin_land	att_special_transportship_naval	2
rex_east_sas_savaran_archers		0	light	2	false	rex_east_sas_savaran_archers	200	0	245	att_cor_heavy_rom	1	40	60	0	245			30	very_light	-1		false	false	0	15301	true		eastern	att_cav_bow_land	att_special_transportship_naval	2
rex_east_arm_light_ayrudzi		0	light	1	false	rex_east_arm_light_ayrudzi	200	0	275	att_cor_heavy_rom	1	40	60	0	275			30	very_light	-1		false	false	0	15302	true		eastern	att_cav_melee_land	att_special_transportship_naval	2
rex_east_arm_azat		0	medium	2	false	rex_east_arm_azat	200	0	365	att_cor_heavy_rom	1	40	60	0	365			45	medium	-1		false	false	0	15303	true		eastern	att_cav_melee_land	att_special_transportship_naval	2
rex_east_sas_azadan		0	medium	2	false	rex_east_sas_azadan	200	0	365	att_cor_heavy_rom	1	40	60	0	365			45	medium	-1		false	false	0	15304	true		eastern	att_cav_melee_land	att_special_transportship_naval	2
rex_east_caucasians		12	light	2	false	rex_east_caucasians	300	0	260	att_cor_heavy_rom	1	40	160	0	260			30	light	-1		false	false	0	15307	true	AOR_Caucasia	eastern	att_inf_spear_land	att_special_transportship_naval	2
rex_east_albanians		7	light	2	false	rex_east_albanians	200	0	190	att_cor_heavy_rom	1	40	160	0	190			25	light	-1		false	false	0	15308	true	AOR_Caucasia	eastern	att_inf_javelin_land	att_special_transportship_naval	2
rex_east_kurds		7	light	2	false	rex_east_kurds	200	0	150	att_cor_heavy_rom	1	40	160	0	150			20	light	-1		false	false	0	15311	true	Auxilia_Persian	eastern	att_inf_sling_land	att_special_transportship_naval	2
rex_east_lakhmids		7	medium	2	false	rex_east_lakhmids	200	0	380	att_cor_heavy_rom	1	20	80	0	380			45	medium	-1		false	false	0	15312	true	Auxilia_Persian	eastern	att_cav_shock_land	att_special_transportship_naval	2
rex_east_daylamites		9	medium	2	false	rex_east_daylamites	300	0	320	att_cor_heavy_rom	1	40	160	0	320			45	medium	-1		false	false	0	15313	true	Auxilia_Persian	eastern	att_inf_spear_land	att_special_transportship_naval	2
rex_east_chionites		7	light	2	false	rex_east_chionites	200	0	385	att_cor_heavy_rom	1	40	60	0	385			50	light	-1		false	false	0	15314	true	Auxilia_Persian	nomad	att_cav_melee_land	att_special_transportship_naval	2
rex_east_arm_roman_infantry		15	medium	3	false	rex_east_arm_roman_infantry	300	0	440	att_cor_heavy_rom	1	40	160	0	440			50	medium	-1		false	false	0	15315	true		eastern	rex_sword_spear	att_special_transportship_naval	3
rex_east_arm_archers		15	medium	2	false	rex_east_arm_archers	200	0	370	att_cor_heavy_rom	1	40	160	0	370			35	medium	-1		false	false	0	15316	true		eastern	att_inf_bow_land	att_special_transportship_naval	3
rex_east_sas_eran_savaran		15	medium	2	false	rex_east_sas_eran_savaran	200	0	470	att_cor_heavy_rom	1	40	60	0	470			50	medium	-1		false	false	0	15317	true		eastern	att_cav_shock_land	att_special_transportship_naval	3
rex_east_armenian_ayrudzi		15	medium	2	false	rex_east_armenian_ayrudzi	200	0	450	att_cor_heavy_rom	1	40	60	0	450			50	medium	-1		false	false	0	15318	true		eastern	att_cav_shock_land	att_special_transportship_naval	3
rex_east_armenian_ayrudzi_archers		15	medium	2	false	rex_east_armenian_ayrudzi_archers	200	0	400	att_cor_heavy_rom	1	20	80	0	400			50	medium	-1		false	false	0	15319	true		eastern	att_cav_bow_land	att_special_transportship_naval	3
rex_east_sas_pahlavan_savaran		9	heavy	2	false	rex_east_sas_pahlavan_savaran	200	0	770	att_cor_heavy_rom	1	40	60	0	770			70	very_heavy	-1		false	false	0	15320	true		eastern	att_cav_shock_land	att_special_transportship_naval	3
rex_east_sas_clibanarius		9	heavy	2	false	rex_east_sas_clibanarius	200	0	1150	att_cor_heavy_rom	1	20	80	0	1150			80	super_heavy	-1		false	false	0	15309	true		eastern	att_cav_shock_land	att_special_transportship_naval	3
rex_east_daylamites_infantry		6	heavy	2	false	rex_east_daylamites_infantry	300	0	450	att_cor_heavy_rom	1	40	160	0	450			60	heavy	-1		false	false	0	15322	true	Auxilia_Persian	eastern	rex_sword_spear	att_special_transportship_naval	3
rex_east_kadisins		4	heavy	2	false	rex_east_kadisins	200	0	520	att_cor_heavy_rom	1	40	160	0	520			60	heavy	-1		false	false	0	15323	true	Auxilia_Persian	eastern	att_cav_melee_land	att_special_transportship_naval	3
rex_east_segestani		4	medium	2	false	rex_east_segestani	300	0	800	att_cor_heavy_rom	1	40	160	0	800			75	medium	-1		false	false	0	15324	true	AOR_Kushan	eastern	att_inf_sword_land	att_special_transportship_naval	3
rex_east_armenian_ishkhan		4	heavy	2	false	rex_east_armenian_ishkhan	200	0	1750	att_cor_heavy_rom	1	20	80	0	1750			105	heavy	-1		false	false	0	15325	true		eastern	att_cav_shock_land	att_special_transportship_naval	3
rex_east_sas_vuzurgan		1	heavy	2	false	rex_east_sas_vuzurgan	150	0	2450	att_cor_heavy_rom	1	20	80	0	2450			115	heavy	-1		false	false	0	15326	true		eastern	att_cav_shock_land	att_special_transportship_naval	3
rex_east_armenian_malkhaz		1	heavy	2	false	rex_east_armenian_malkhaz	200	0	1600	att_cor_heavy_rom	1	20	80	0	1600			90	heavy	-1		false	false	0	15327	true		eastern	att_cav_shock_land	att_special_transportship_naval	3
rex_east_sas_pushtigban		5	heavy	2	false	rex_east_sas_pushtigban	200	0	2250	att_cor_heavy_rom	1	20	80	0	2250			90	super_heavy	-1		false	false	0	15328	true		eastern	att_cav_shock_land	att_special_transportship_naval	3
