unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/_rex_germ_main_units																															
rex_germ_hansa_bow		0	light	1	false	rex_germ_hansa_bow	200	0	150	att_lon_heavy_tra_ger	1	40	160	0	150			15	very_light	-1		false	false	0	15356	true		barbarian	att_inf_bow_land	att_special_transportship_naval	1
rex_germ_hansa_hunters		0	light	1	false	rex_germ_hansa_hunters	200	0	185	att_lon_heavy_tra_ger	1	40	160	0	185			20	very_light	-1		false	false	0	15357	true		barbarian	att_inf_bow_land	att_special_transportship_naval	1
rex_germ_hansa_ambush		0	light	1	false	rex_germ_hansa_ambush	300	0	260	att_lon_heavy_tra_ger	1	40	160	0	260			40	very_light	-1		false	false	0	15358	true		barbarian	att_inf_axe_land	att_special_transportship_naval	1
rex_germ_hansa_watch		0	light	1	false	rex_germ_hansa_watch	300	0	220	att_lon_heavy_tra_ger	1	40	160	0	220			30	light	-1		false	false	0	15359	true		barbarian	rex_spear_sling	att_special_transportship_naval	1
rex_germ_hansa_mounted		6	light	1	false	rex_germ_hansa_mounted	200	0	270	att_cor_heavy_rom	1	20	80	0	270			40	light	-1		false	false	0	15360	true		barbarian	att_cav_melee_land	att_special_transportship_naval	1
rex_germ_hansa_mounted_z		2	light	1	false	rex_germ_hansa_mounted	200	0	270	att_cor_heavy_rom	1	20	80	0	270			40	light	-1		false	false	0	15361	true		barbarian	att_cav_melee_land	att_special_transportship_naval	1
rex_germ_band_archers		0	light	2	false	rex_germ_band_archers	200	0	200	att_lon_heavy_tra_ger	1	40	160	0	200			20	light	-1		false	false	0	15362	true		barbarian	att_inf_bow_land	att_special_transportship_naval	2
rex_germ_band_defenders		0	light	2	false	rex_germ_band_defenders	300	0	280	att_lon_heavy_tra_ger	1	40	160	0	280			40	light	-1		false	false	0	15363	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
rex_germ_band_defenders_nord		0	light	2	false	rex_germ_band_defenders_nord	300	0	280	att_lon_heavy_tra_ger	1	40	160	0	280			40	light	-1		false	false	0	15364	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
rex_germ_band_defenders_franc		0	light	2	false	rex_germ_band_defenders_franc	300	0	280	att_lon_heavy_tra_ger	1	40	160	0	280			40	light	-1		false	false	0	15365	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
rex_germ_band_raiders		0	light	2	false	rex_germ_band_raiders	300	0	290	att_lon_heavy_tra_ger	1	40	160	0	290			45	light	-1		false	false	0	15366	true		barbarian	att_inf_axe_land	att_special_transportship_naval	2
rex_germ_band_raiders_sueb		0	light	2	false	rex_germ_band_raiders_sueb	300	0	290	att_lon_heavy_tra_ger	1	40	160	0	290			45	light	-1		false	false	0	15367	true		barbarian	att_inf_axe_land	att_special_transportship_naval	2
rex_germ_band_raiders_nord		0	light	2	false	rex_germ_band_raiders_nord	300	0	290	att_lon_heavy_tra_ger	1	40	160	0	290			45	light	-1		false	false	0	15368	true		barbarian	att_inf_axe_land	att_special_transportship_naval	2
rex_germ_band_raiders_franc		0	light	2	false	rex_germ_band_raiders_franc	300	0	305	att_lon_heavy_tra_ger	1	40	160	0	305			45	light	-1		false	false	0	15369	true		barbarian	att_inf_axe_land	att_special_transportship_naval	2
rex_germ_band_raiders_sax		0	light	2	false	rex_germ_band_raiders_sax	300	0	305	att_lon_heavy_tra_ger	1	40	160	0	305			45	light	-1		false	false	0	15370	true		barbarian	att_inf_sword_land	att_special_transportship_naval	2
rex_germ_band_crushers		0	medium	2	false	rex_germ_band_crushers	200	0	220	att_lon_heavy_tra_ger	1	40	160	0	220			45	medium	-1		false	false	0	15371	true		barbarian	att_inf_axe_land	att_special_transportship_naval	2
rex_germ_band_crushers_nord		0	medium	2	false	rex_germ_band_crushers_nord	200	0	220	att_lon_heavy_tra_ger	1	40	160	0	220			45	medium	-1		false	false	0	15372	true		barbarian	att_inf_axe_land	att_special_transportship_naval	2
rex_germ_band_crushers_franc		0	medium	2	false	rex_germ_band_crushers_franc	200	0	220	att_lon_heavy_tra_ger	1	40	160	0	220			45	medium	-1		false	false	0	15373	true		barbarian	att_inf_axe_land	att_special_transportship_naval	2
