unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/_rex_hun_main_units																															
rex_hun_tribesmen		0	light	1	false	rex_hun_tribesmen	200	0	225	att_lon_heavy_tra_ger	1	20	80	0	225			25	light	-1		false	false	0	15645	true		nomad	att_cav_bow_land	att_special_transportship_naval	1
rex_hun_fast_arrows		0	light	1	false	rex_hun_fast_arrows	200	0	290	att_lon_heavy_tra_ger	1	40	80	0	290			30	very_light	-1		false	false	0	15646	true		nomad	att_cav_bow_land	att_special_transportship_naval	2
rex_hun_horsemen_steppe		0	light	1	false	rex_hun_horsemen_steppe	200	0	385	att_lon_heavy_tra_ger	1	40	80	0	385			40	light	-1		false	false	0	15647	true		nomad	att_cav_melee_land	att_special_transportship_naval	2
rex_hun_ven_band_skirmishers		9	light	2	false	rex_slav_ven_band_skirmishers	200	0	160	att_lon_heavy_tra_ger	1	40	160	0	160			20	very_light	-1		false	false	0	15648	true	AOR_Germania	barbarian	att_inf_javelin_land	att_special_transportship_naval	2
rex_hun_ven_band_archers		9	light	2	false	rex_slav_ven_band_archers	200	0	150	att_lon_heavy_tra_ger	1	40	160	0	150			15	very_light	-1		false	false	0	15649	true	AOR_Germania	barbarian	att_inf_bow_land	att_special_transportship_naval	2
rex_hun_ven_band_defenders		9	light	2	false	rex_slav_ven_band_defenders	300	0	230	att_lon_heavy_tra_ger	1	40	160	0	230			35	light	-1		false	false	0	15650	true	AOR_Germania	barbarian	att_inf_spear_land	att_special_transportship_naval	2
rex_hun_ven_band_raiders		9	light	2	false	rex_slav_ven_band_raiders	300	0	275	att_lon_heavy_tra_ger	1	40	160	0	275			40	light	-1		false	false	0	15651	true	AOR_Germania	barbarian	att_inf_axe_land	att_special_transportship_naval	2
rex_hun_ant_band_skirmishers		7	light	2	false	rex_slav_ant_band_skirmishers	200	0	195	att_lon_heavy_tra_ger	1	40	160	0	195			25	very_light	-1		false	false	0	15652	true	Auxilia_Sarmatian	barbarian	att_inf_javelin_land	att_special_transportship_naval	2
rex_hun_ant_band_archers		7	light	2	false	rex_slav_ant_band_archers	200	0	180	att_lon_heavy_tra_ger	1	40	160	0	180			20	very_light	-1		false	false	0	15653	true	Auxilia_Sarmatian	barbarian	att_inf_bow_land	att_special_transportship_naval	2
rex_hun_ant_band_defenders		7	light	2	false	rex_slav_ant_band_defenders	300	0	260	att_lon_heavy_tra_ger	1	40	160	0	260			40	light	-1		false	false	0	15654	true	Auxilia_Sarmatian	barbarian	att_inf_spear_land	att_special_transportship_naval	2
rex_hun_ant_band_horse_archers		7	light	2	false	rex_slav_ant_band_horse_archers	200	0	260	att_lon_heavy_tra_ger	1	40	60	0	260			40	light	-1		false	false	0	15655	true	AOR_Sarmatia	barbarian	att_cav_bow_land	att_special_transportship_naval	2
rex_hun_squad_hunters		9	light	1	false	rex_slav_squad_hunters	200	0	185	att_lon_heavy_tra_ger	1	40	160	0	185			20	very_light	-1		false	false	0	15656	true	AOR_Germania	barbarian	att_inf_bow_land	att_special_transportship_naval	1
