unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/_rex_merc_main_units																															
rex_merc_rom_veterani		0	medium_merc	1	false	rex_rom_veterani	300	0	3000	att_cor_heavy_rom	1	40	160	0	3000			160	medium	-1		false	false	0	5520	true		roman	rex_sword_spear	att_special_transportship_naval	3
rex_merc_rom_veterani_cent		0	medium_merc	1	false	rex_rom_veterani_cent	100	0	1000	att_cor_heavy_rom	1	40	160	0	1000			55	medium	-1		false	false	0	5521	true		roman	rex_sword_spear	att_special_transportship_naval	2
att_merc_rom_comitatensis_spears		16	medium_merc	1	false	rex_rom_pereb_lanciarii	300	0	720	att_cor_heavy_rom	1	40	160	0	720			70	medium	-1		false	false	0	8982	true		roman	att_inf_spear_land	att_special_transportship_naval	2
att_merc_rom_legio		12	medium_merc	1	false	rex_rom_pereb_legioneri	300	0	1060	att_cor_heavy_rom	1	40	160	0	1060			75	medium	-1		false	false	0	8987	true		roman	rex_sword_spear	att_special_transportship_naval	2
att_merc_rom_palatina		6	medium_merc	1	false	rex_rom_pereb_legioneri_squama	300	0	1460	att_cor_heavy_rom	1	40	160	0	1460			90	medium	-1		false	false	0	8993	true		roman	rex_sword_spear	att_special_transportship_naval	3
att_merc_rom_ballistarii		12	light_merc	1	false	rex_rom_pereb_balistarii	200	0	500	att_cor_heavy_rom	1	40	160	0	500			60	light	-1		false	false	0	5523	true		roman	att_inf_crossbow2_land	att_special_transportship_naval	1
att_merc_ger_gothic_pikemen		0	light_merc	1	false	rex_goth_band_militon	300	0	420	att_lon_heavy_tra_ger	1	40	160	0	420			60	light	-1		false	false	0	15245	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
att_merc_ger_gothic_falxmen		0	light_merc	1	false	rex_goth_band_aihvamanne	200	0	420	att_lon_heavy_tra_ger	1	40	60	0	420			60	light	-1		false	false	0	15246	true		barbarian	att_cav_melee_land	att_special_transportship_naval	2
att_merc_ger_gothic_pikemen1		0	light_merc	1	false	rex_goth_band_militon_vandals	300	0	420	att_lon_heavy_tra_ger	1	40	160	0	420			60	light	-1		false	false	0	15289	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
att_merc_rom_funditores		0	medium_merc	1	false	rex_merc_rom_defensores	300	0	2025	att_cor_heavy_rom	1	40	160	0	2025			95	medium	-1		false	false	0	9001	true		roman	att_inf_spear_land	att_special_transportship_naval	2
att_merc_rom_sagittarii		0	light_merc	1	false	rex_merc_rom_sagittarii	200	0	1375	att_cor_heavy_rom	1	40	160	0	1375			50	light	-1		false	false	0	9006	true		roman	att_inf_bow_land	att_special_transportship_naval	2
