unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/_rex_other_main_units																															
rex_townsfolks_rom		0	light	1	false	rex_townsfolks_rom	200	0	100	att_cor_heavy_rom	1	40	160	0	100			0	very_light	-1		false	false	0	15008	true		roman	att_inf_sling_land	att_special_transportship_naval	1
rex_townsfolks_barb		0	light	1	false	rex_townsfolks_barb	200	0	100	att_cor_heavy_rom	1	40	160	0	100			0	very_light	-1		false	false	0	15009	true		barbarian	att_inf_sling_land	att_special_transportship_naval	1
rex_townsfolks_est		0	light	1	false	rex_townsfolks_est	200	0	100	att_cor_heavy_rom	1	40	160	0	100			0	very_light	-1		false	false	0	15010	true		eastern	att_inf_sling_land	att_special_transportship_naval	1
rex_townsfolks_sarm		0	light	1	false	rex_townsfolks_sarm	200	0	100	att_cor_heavy_rom	1	40	160	0	100			0	very_light	-1		false	false	0	15011	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	1
rex_ost_skirmisher_ishoda		10	light	1	false	rex_barb_skirmisher_ishoda	300	0	200	att_lon_heavy_tra_ger	1	40	160	0	200			20	very_light	-1		false	false	0	15103	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	1
rex_ost_instigator_ishoda		5	light	1	false	rex_barb_instigator_ishoda	440	0	200	att_lon_heavy_tra_ger	1	40	160	0	200			30	light	-1		false	false	0	15104	true		barbarian	att_inf_axe_land	att_special_transportship_naval	1
rex_ost_barb_spearmen_ishoda		9	light	1	false	rex_barb_spearmen_ishoda	440	0	200	att_lon_heavy_tra_ger	1	40	160	0	200			30	light	-1		false	false	0	15105	true		barbarian	att_inf_spear_land	att_special_transportship_naval	1
rex_ost_barb_bowmen_ishoda		9	light	1	false	rex_barb_bowmen_ishoda	300	0	200	att_lon_heavy_tra_ger	1	40	160	0	200			20	very_light	-1		false	false	0	15106	true		barbarian	att_inf_bow_land	att_special_transportship_naval	1
rex_ost_horsemen_s_ishoda		5	light	1	false	rex_barb_horsemen_s_ishoda	300	0	200	att_lon_heavy_tra_ger	1	20	80	0	200			30	light	-1		false	false	0	15108	true		barbarian	att_cav_melee_land	att_special_transportship_naval	1
