unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/_rex_rome_main_units																															
att_rom_limitanei_borderguards		0	light	2	false	rex_rom_millites	300	0	260	att_cor_heavy_rom	1	40	160	0	260			30	light	-1		false	false	0	5492	true		roman	rex_spear_sling	att_special_transportship_naval	1
rex_rom_millites_barb		2	light	1	false	rex_rom_millites_barb	300	0	420	att_cor_heavy_rom	1	40	160	0	420			35	light	-1		false	false	0	15014	true	Auxilia_Bactrian	barbarian	rex_spear_sling	att_special_transportship_naval	1
rex_rom_millites_daci		4	light	1	false	rex_rom_millites_daci	300	0	410	att_cor_heavy_rom	1	40	160	0	410			35	light	-1		false	false	0	15016	true	Auxilia_Thracia	barbarian	rex_spear_sling	att_special_transportship_naval	1
rex_rom_millites_mena		1	light	1	false	rex_rom_millites_mena	300	0	410	att_cor_heavy_rom	1	40	160	0	410			35	light	-1		false	false	0	15018	true	Auxilia_Bactrian	barbarian	rex_spear_sling	att_special_transportship_naval	1
rex_rom_millites_moes		4	light	2	false	rex_rom_millites_moes	300	0	275	att_cor_heavy_rom	1	40	160	0	275			30	light	-1		false	false	0	15019	true	Auxilia_Thracia	barbarian	rex_spear_sling	att_special_transportship_naval	1
rex_rom_millites_nerv		3	light	1	false	rex_rom_millites_nerv	300	0	410	att_cor_heavy_rom	1	40	160	0	410			35	light	-1		false	false	0	15020	true	Auxilia_Bactrian	barbarian	rex_spear_sling	att_special_transportship_naval	1
rex_rom_millites_scyt		3	light	1	false	rex_rom_millites_scyt	200	0	275	att_cor_heavy_rom	1	40	160	0	275			20	light	-1		false	false	0	15021	true	Auxilia_Thracia	barbarian	att_inf_javelin_land	att_special_transportship_naval	1
rex_rom_millites_tung		1	light	1	false	rex_rom_millites_tung	300	0	410	att_cor_heavy_rom	1	40	160	0	410			35	light	-1		false	false	0	15022	true	Auxilia_Bactrian	barbarian	rex_spear_sling	att_special_transportship_naval	1
rex_rom_millites_maur		5	light	1	false	rex_rom_millites_maur	200	0	275	att_cor_heavy_rom	1	40	160	0	275			20	very_light	-1		false	false	0	15015	true	Auxilia_Sabaean	eastern	att_inf_javelin_land	att_special_transportship_naval	1
rex_rom_millites_ital		3	light	2	false	rex_rom_millites_ital	300	0	310	att_cor_heavy_rom	1	40	160	0	310			30	light	-1		false	false	0	15013	true	Auxilia_Italian	roman	rex_spear_sling	att_special_transportship_naval	1
rex_rom_millites_dalm		5	light	2	false	rex_rom_millites_dalm	300	0	280	att_cor_heavy_rom	1	40	160	0	280			30	light	-1		false	false	0	15017	true	Auxilia_Illyrian	roman	rex_spear_sling	att_special_transportship_naval	1
rex_rom_millites_ball		0	light	2	false	rex_rom_millites_ball	200	0	400	att_cor_heavy_rom	1	40	160	0	400			40	light	-1		false	false	0	15023	true		roman	att_inf_crossbow_land	att_special_transportship_naval	1
rex_rom_millites_arm		9	medium	2	false	rex_rom_millites_arm	300	0	360	att_cor_heavy_rom	1	40	160	0	360			40	medium	-1		false	false	0	15012	true		roman	rex_spear_sling	att_special_transportship_naval	1
rex_praeventores		7	light	1	false	rex_praeventores	150	0	200	att_cor_heavy_rom	1	40	160	0	200			15	very_light	-1		false	false	0	15006	true		roman	att_inf_spear_land	att_special_transportship_naval	2
att_rom_palatina_guards		0	light	1	false	rex_exploratores	100	0	300	att_cor_light_rom	1	20	50	0	300			25	very_light	-1		false	false	0	5491	true		roman	att_cav_melee_land	att_special_transportship_naval	2
att_rom_scout_equites		5	light	1	false	rex_superventores	150	0	300	att_cor_heavy_rom	1	40	150	0	300			40	very_light	-1		false	false	0	5490	true		roman	att_cav_melee_land	att_special_transportship_naval	2
att_rom_funditores		6	light	4	false	rex_rom_legionis_funditores	300	0	350	att_cor_heavy_rom	1	40	160	0	350			35	light	-1		false	false	0	15024	true		roman	rex_spear_sling	att_special_transportship_naval	2
