unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/_rex_sarm_main_units																															
rex_sarm_foot_tribesmen		0	light	1	false	rex_sarm_foot_tribesmen	300	0	220	att_lon_heavy_tra_ger	1	40	160	0	220			30	light	-1		false	false	0	15578	true		barbarian	att_inf_spear_land	att_special_transportship_naval	1
rex_sarm_foot_bows		0	light	1	false	rex_sarm_foot_bows	200	0	150	att_lon_heavy_tra_ger	1	40	160	0	150			15	very_light	-1		false	false	0	15579	true		barbarian	att_inf_bow_land	att_special_transportship_naval	1
rex_sarm_tribesmen		0	light	1	false	rex_sarm_tribesmen	200	0	225	att_lon_heavy_tra_ger	1	40	160	0	225			30	light	-1		false	false	0	15580	true		barbarian	att_cav_melee_land	att_special_transportship_naval	1
rex_sarm_scouts		5	light	1	false	rex_sarm_scouts	100	0	300	att_lon_heavy_tra_ger	1	40	160	0	300			25	very_light	-1		false	false	0	15581	true		barbarian	att_cav_melee_land	att_special_transportship_naval	2
rex_sarm_horsemen_steppe		0	light	2	false	rex_sarm_horsemen_steppe	200	0	275	att_lon_heavy_tra_ger	1	40	160	0	275			40	light	-1		false	false	0	15582	true		barbarian	att_cav_melee_land	att_special_transportship_naval	2
rex_sarm_spears_limicantes		0	light	2	false	rex_sarm_spears_limicantes	300	0	260	att_lon_heavy_tra_ger	1	40	160	0	260			35	light	-1		false	false	0	15583	true		barbarian	att_inf_spear_land	att_special_transportship_naval	2
rex_sarm_arrows_limicantes		0	light	2	false	rex_sarm_arrows_limicantes	200	0	250	att_lon_heavy_tra_ger	1	40	160	0	250			35	very_light	-1		false	false	0	15584	true		barbarian	att_cav_bow_land	att_special_transportship_naval	2
rex_sarm_light_wedge_limicantes		0	light	2	false	rex_sarm_light_wedge_limicantes	200	0	320	att_lon_heavy_tra_ger	1	40	160	0	320			45	light	-1		false	false	0	15585	true		barbarian	att_cav_shock_land	att_special_transportship_naval	2
rex_sarm_sarmatian_horsemen		0	light	2	false	rex_sarm_sarmatian_horsemen	200	0	310	att_lon_heavy_tra_ger	1	40	160	0	310			45	light	-1		false	false	0	15586	true		barbarian	att_cav_melee_land	att_special_transportship_naval	2
rex_sarm_fast_arrows_arcaragantes		9	light	2	false	rex_sarm_fast_arrows_arcaragantes	200	0	290	att_lon_heavy_tra_ger	1	40	160	0	290			40	very_light	-1		false	false	0	15587	true		barbarian	att_cav_bow_land	att_special_transportship_naval	2
rex_sarm_wedge_arcaragantes		0	medium	2	false	rex_sarm_wedge_arcaragantes	200	0	360	att_lon_heavy_tra_ger	1	40	160	0	360			50	medium	-1		false	false	0	15588	true		barbarian	att_cav_shock_land	att_special_transportship_naval	2
rex_sarm_hunting_dogs		5	light	2	false	rex_sarm_hunting_dogs	150	0	550	att_lon_heavy_tra_ger	1	40	160	0	550			60	light	-1		false	false	0	15589	true		barbarian	att_special_wardog_land	att_special_transportship_naval	3
rex_sarm_swords_limicantes		10	medium	2	false	rex_sarm_swords_limicantes	300	0	350	att_lon_heavy_tra_ger	1	40	160	0	350			35	medium	-1		false	false	0	15590	true		barbarian	att_inf_sword_land	att_special_transportship_naval	3
rex_sarm_gothish_infantry		6	medium	2	false	rex_sarm_gothish_infantry	300	0	480	att_lon_heavy_tra_ger	1	40	160	0	480			40	medium	-1		false	false	0	15591	true		barbarian	rex_sword_spear	att_special_transportship_naval	3
rex_sarm_warband_limicantes		0	medium	2	false	rex_sarm_warband_limicantes	200	0	360	att_lon_heavy_tra_ger	1	40	160	0	360			50	medium	-1		false	false	0	15592	true		barbarian	att_cav_shock_land	att_special_transportship_naval	3
rex_sarm_light_shield_bearers_limicantes		0	medium	2	false	rex_sarm_light_shield_bearers_limicantes	200	0	350	att_lon_heavy_tra_ger	1	40	160	0	350			50	medium	-1		false	false	0	15593	true		barbarian	att_cav_melee_land	att_special_transportship_naval	3
rex_sarm_long_arrows_arcaragantes		7	medium	2	false	rex_sarm_long_arrows_arcaragantes	200	0	320	att_lon_heavy_tra_ger	1	40	160	0	320			50	medium	-1		false	false	0	15594	true		barbarian	att_cav_bow_land	att_special_transportship_naval	3
rex_sarm_allan_bal		10	heavy	2	false	rex_sarm_allan_bal	200	0	730	att_lon_heavy_tra_ger	1	40	160	0	730			70	heavy	-1		false	false	0	15595	true		barbarian	att_cav_shock_land	att_special_transportship_naval	3
rex_sarm_shield_bearers_warband_arcaragantes		7	heavy	2	false	rex_sarm_shield_bearers_warband_arcaragantes	200	0	800	att_lon_heavy_tra_ger	1	40	160	0	800			75	heavy	-1		false	false	0	15596	true		barbarian	att_cav_melee_land	att_special_transportship_naval	3
rex_sarm_glittering_warband_limicantes		10	heavy	2	false	rex_sarm_glittering_warband_limicantes	200	0	690	att_lon_heavy_tra_ger	1	40	160	0	690			65	heavy	-1		false	false	0	15597	true		barbarian	att_cav_shock_land	att_special_transportship_naval	3
rex_sarm_oathbound_warband_limicantes		7	heavy	2	false	rex_sarm_oathbound_warband_limicantes	200	0	750	att_lon_heavy_tra_ger	1	40	160	0	750			70	heavy	-1		false	false	0	15598	true		barbarian	att_cav_melee_land	att_special_transportship_naval	3
rex_sarm_regal_warband		3	heavy	2	false	rex_sarm_regal_warband	200	0	1550	att_lon_heavy_tra_ger	1	40	160	0	1550			95	heavy	-1		false	false	0	15599	true		barbarian	att_cav_melee_land	att_special_transportship_naval	3
rex_sarm_comrades		1	heavy	1	false	rex_sarm_comrades	180	0	1700	att_lon_heavy_tra_ger	1	40	160	0	1700			110	heavy	-1		false	false	0	15600	true		barbarian	att_cav_melee_land	att_special_transportship_naval	3
rex_sarm_nobles_warband		3	heavy	2	false	rex_sarm_nobles_warband	200	0	1400	att_lon_heavy_tra_ger	1	40	160	0	1400			90	heavy	-1		false	false	0	15601	true		barbarian	att_cav_melee_land	att_special_transportship_naval	3
rex_sarm_convex_headed		1	heavy	1	false	rex_sarm_convex_headed	180	0	1700	att_lon_heavy_tra_ger	1	40	160	0	1700			110	heavy	-1		false	false	0	15602	true		barbarian	att_cav_melee_land	att_special_transportship_naval	3
rex_sarm_tuggyntae		10	heavy	1	false	rex_sarm_tuggyntae	200	0	500	att_lon_heavy_tra_ger	1	40	160	0	500			60	heavy	-1		false	false	0	15603	true		barbarian	att_cav_melee_land	att_special_transportship_naval	3
rex_sarm_regal_warband_g		0	heavy	2	false	rex_sarm_regal_warband_g	100	0	1550	att_lon_heavy_tra_ger	1	40	160	0	1550			95	heavy	-1		false	false	0	15604	true		barbarian	att_cav_melee_land	att_special_transportship_naval	3
rex_sarm_nobles_warband_g		0	heavy	2	false	rex_sarm_nobles_warband_g	100	0	1400	att_lon_heavy_tra_ger	1	40	160	0	1400			90	heavy	-1		false	false	0	15605	true		barbarian	att_cav_melee_land	att_special_transportship_naval	3
