unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/_rex_shp_main_units																															
att_shp_merc_cel_celtic_bow_lon_light		0	light_merc	4	true	att_mar_cel_celtic_bow_marauders	88	0	1125	att_lon_light_mis_cel	1	21	88	0	1125			55	very_light	-1		false	false	0	5592	true		barbarian	att_inf_bow_marine	att_inf_bow_naval	2
att_shp_merc_cel_heavy_marauders_lon_light		0	light_merc	4	true	att_mar_cel_celtic_marauders	76	0	1700	att_lon_light_mel_cel	1	18	76	0	1700			80	light	-1		false	false	0	5593	true		barbarian	att_inf_axe_marine	att_inf_axe_naval	2
att_shp_merc_cel_light_marauders_lon_light		0	light_merc	4	true	att_mar_cel_celtic_marauders	68	0	925	att_lon_light_mel_cel	1	14	68	0	925			65	light	-1		false	false	0	5594	true		barbarian	att_inf_axe_marine	att_inf_axe_naval	2
att_shp_merc_cel_marauders_lon_heavy		0	light_merc	4	true	att_mar_cel_celtic_marauders	104	0	2815	att_lon_heavy_mel_cel	1	32	104	0	2815			135	light	-1		false	false	0	5595	true		barbarian	att_inf_axe_marine	att_inf_axe_naval	2
att_shp_merc_des_corsairs_dro_light		0	medium_merc	4	true	att_mar_des_desert_corsairs	84	0	1675	att_dro_light_mel_eas	1	18	84	0	1675			75	medium	-1		false	false	0	5596	true		eastern	att_inf_sword_marine	att_inf_sword_naval	3
att_shp_merc_des_heavy_corsairs_lib_light		0	heavy_merc	4	true	att_mar_des_desert_corsairs	120	0	2875	att_dro_heavy_mel_eas	1	18	120	0	2875			120	medium	-1		false	false	0	5597	true		eastern	att_inf_sword_marine	att_inf_sword_naval	3
att_shp_merc_eas_artillery_lib_light		0	light_merc	4	true	att_merc_mar_est_eastern_artillery_crew	64	0	2815	att_lib_light_art_eas	1	16	64	0	2815			100	very_light	-1		false	false	0	5598	true		roman	att_inf_sword_marine	att_art_field_naval	3
att_shp_merc_eas_hurlers_dro_light		0	light_merc	4	true	att_mar_est_eastern_naval_hurlers	80	0	950	att_dro_light_mis_eas	1	15	80	0	950			55	light	-1		false	false	0	5599	true		eastern	att_inf_javelin_marine	att_inf_javelin_naval	2
att_shp_merc_eas_light_boatmen_dro_light		0	light_merc	4	true	att_mar_est_eastern_boatmen	84	0	1275	att_dro_light_mel_eas	1	17	84	0	1275			75	light	-1		false	false	0	5600	true		eastern	att_inf_sword_marine	att_inf_sword_naval	2
att_shp_merc_ger_artillery_lib_light		0	light_merc	4	true	att_merc_mar_ger_germanic_artillery_crew	56	0	2500	att_lib_light_art_ger	1	14	56	0	2500			85	very_light	-1		false	false	0	5601	true		barbarian	att_inf_sword_marine	att_art_field_naval	3
att_shp_merc_ger_boatment_lib_light_ram		0	light_merc	4	true	att_mar_ger_germanic_marauders	20	0	795	att_lib_light_ram_ger	1	5	20	0	795			25	light	-1		false	false	0	5602	true		barbarian	att_inf_axe_marine	att_special_ram_naval	2
att_shp_merc_ger_boatment_lib_light_spike		0	medium_merc	4	true	att_mar_ger_germanic_marauders	36	0	1375	att_lib_light_spike_ram_ger	1	9	36	0	1375			45	medium	-1		false	false	0	5603	true		barbarian	att_inf_axe_marine	att_special_ram_naval	2
att_shp_merc_ger_bow_lon_light		0	light_merc	4	true	att_mar_ger_germanic_bow_marauders	76	0	875	att_lon_light_mis_ger	1	14	76	0	875			50	very_light	-1		false	false	0	5604	true		barbarian	att_inf_bow_marine	att_inf_bow_naval	1
att_shp_merc_ger_light_marauders_lon_light		0	medium_merc	4	true	att_mar_ger_germanic_marauders	68	0	1050	att_lon_light_mel_ger	1	14	68	0	1050			60	medium	-1		false	false	0	5605	true		barbarian	att_inf_axe_marine	att_inf_axe_naval	2
att_shp_merc_cel_berserker_lon_heavy		0	medium_merc	4	true	att_mar_cel_celtic_heavy_marauders	104	0	2750	att_lon_heavy_mel_cel	1	32	104	0	2750			100	medium	-1		false	false	0	5591	true		barbarian	att_inf_sword_marine	att_inf_sword_naval	3
att_shp_merc_rom_artillery_lib_light		0	light_merc	4	true	att_merc_mar_rom_roman_artillery_crew	64	0	2815	att_lib_light_art_rom	1	16	64	0	2815			105	very_light	-1		false	false	0	5608	true		roman	att_inf_sword_marine	att_art_field_naval	3
att_shp_merc_rom_light_marines_lib_light		0	light_merc	4	true	att_mar_rom_roman_light_marines	80	0	1565	att_lib_light_mel_rom	1	16	80	0	1565			70	very_light	-1		false	false	0	5609	true		roman	att_inf_sword_marine	att_inf_sword_naval	2
att_shp_merc_rom_skirmisher_lib_light		0	light_merc	4	true	att_mar_rom_roman_skirmisher_marines	80	0	2015	att_lib_light_mis_rom	1	16	80	0	2015			85	very_light	-1		false	false	0	5610	true		roman	att_inf_javelin_marine	att_inf_javelin_naval	3
att_shp_merc_sax_bow_lon_light		0	light_merc	4	true	att_mar_ger_germanic_bow_marauders	100	0	1500	att_lon_light_mis_nor	1	23	100	0	1500			95	very_light	-1		false	false	0	5611	true		barbarian	att_inf_bow_marine	att_inf_bow_naval	2
