unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/att_cel_main_units																															
att_cel_black_blades		0	heavy	2	false	att_cel_black_blades	200	0	725	att_lon_heavy_tra_cel	1	40	160	0	725			90	heavy	-1		false	false	0	10720	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_cel_caledonian_axemen		0	medium	2	false	att_cel_caledonian_axemen	200	0	575	att_lon_heavy_tra_cel	1	40	160	0	575			70	medium	-1		false	false	0	10805	true		barbarian	att_inf_axe_land	att_special_transportship_naval	0
att_cel_cateran_brigade		0	heavy	2	false	att_cel_cateran_brigade	200	0	525	att_lon_heavy_tra_cel	1	40	160	0	525			65	very_heavy	-1		false	false	0	10815	true		barbarian	att_inf_spear_land	att_special_transportship_naval	0
att_cel_celtic_archers		0	light	2	false	att_cel_celtic_archers	200	0	180	att_lon_heavy_tra_cel	1	40	160	0	180			20	very_light	-1		false	false	0	10818	true		barbarian	att_inf_bow_land	att_special_transportship_naval	0
att_cel_celtic_axe_band		0	medium	2	false	att_cel_celtic_axe_band	200	0	425	att_lon_heavy_tra_cel	1	40	160	0	425			50	medium	-1		false	false	0	10691	true		barbarian	att_inf_axe_land	att_special_transportship_naval	0
att_cel_celtic_axe_warriors		0	medium	2	false	att_cel_celtic_axe_warriors	200	0	500	att_lon_heavy_tra_cel	1	40	160	0	500			60	medium	-1		false	false	0	10721	true		barbarian	att_inf_axe_land	att_special_transportship_naval	0
att_cel_celtic_band		0	light	2	false	att_cel_celtic_band	200	0	230	att_lon_heavy_tra_cel	1	40	160	0	230			25	light	-1		false	false	0	10754	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_cel_celtic_berserkers		0	light	2	false	att_cel_celtic_berserkers	200	0	425	att_lon_heavy_tra_cel	1	40	160	0	425			50	very_light	-1		false	false	0	10699	true		barbarian	att_inf_axe_land	att_special_transportship_naval	0
att_cel_celtic_bows		0	light	2	false	att_cel_celtic_bows	200	0	100	att_lon_heavy_tra_cel	1	40	160	0	100			15	very_light	-1		false	false	0	10704	true		barbarian	att_inf_bow_land	att_special_transportship_naval	0
att_cel_celtic_brigands		0	light	2	false	att_cel_celtic_brigands	200	0	375	att_lon_heavy_tra_cel	1	40	160	0	375			45	light	-1		false	false	0	10705	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	0
att_cel_celtic_cavalry_raiders		0	light	2	false	att_cel_celtic_cavalry_raiders	200	0	450	att_lon_light_tra_cel	1	20	80	0	450			55	very_light	-1		false	false	0	10711	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	0
att_cel_celtic_crossbows		0	light	2	false	att_cel_celtic_crossbows	200	0	190	att_lon_heavy_tra_cel	1	40	160	0	190			25	very_light	-1		false	false	0	10722	true		barbarian	att_inf_crossbow_land	att_special_transportship_naval	0
att_cel_celtic_levy		0	light	2	false	att_cel_celtic_levy	200	0	275	att_lon_heavy_tra_cel	1	40	160	0	275			30	very_light	-1		false	false	0	10726	true		barbarian	att_inf_spear_land	att_special_transportship_naval	0
att_cel_celtic_nobles		0	heavy	2	false	att_cel_celtic_nobles	200	0	425	att_lon_heavy_tra_cel	1	40	160	0	425			50	very_heavy	-1		false	false	0	10823	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_cel_celtic_skirmishers		0	light	2	false	att_cel_celtic_skirmishers	200	0	450	att_lon_heavy_tra_cel	1	40	160	0	450			55	light	-1		false	false	0	10729	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	0
att_cel_celtic_spearmen		0	medium	2	false	att_cel_celtic_spearmen	200	0	400	att_lon_heavy_tra_cel	1	40	160	0	400			50	medium	-1		false	false	0	10737	true		barbarian	att_inf_spear_land	att_special_transportship_naval	0
att_cel_celtic_spears		0	light	2	false	att_cel_celtic_spears	200	0	350	att_lon_heavy_tra_cel	1	40	160	0	350			40	light	-1		false	false	0	10743	true		barbarian	att_inf_spear_land	att_special_transportship_naval	0
att_cel_celtic_warband		0	medium	2	false	att_cel_celtic_warband	200	0	325	att_lon_heavy_tra_cel	1	40	160	0	325			40	medium	-1		false	false	0	10747	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_cel_celtic_warlord		0	heavy	2	false	att_cel_celtic_warlord	200	0	325	att_lon_heavy_tra_cel	1	40	160	0	325			40	heavy	-1		false	false	0	10830	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_cel_celtic_warriors		0	heavy	2	false	att_cel_celtic_warriors	200	0	350	att_lon_heavy_tra_cel	1	40	160	0	350			45	heavy	-1		false	false	0	10730	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_cel_celtic_woodrunners		0	light	2	false	att_cel_celtic_woodrunners	200	0	300	att_lon_heavy_tra_cel	1	40	160	0	300			35	light	-1		false	false	0	10758	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_cel_chosen_raiders		0	medium	2	false	att_cel_chosen_raiders	200	0	925	att_lon_light_tra_cel	1	20	80	0	925			115	medium	-1		false	false	0	10831	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	0
att_cel_ebdani_cavalry_raiders		0	medium	2	false	att_cel_ebdani_cavalry_raiders	200	0	700	att_lon_light_tra_cel	1	20	80	0	700			85	medium	-1		false	false	0	10863	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	0
att_cel_ebdani_raiders		0	medium	2	false	att_cel_ebdani_raiders	200	0	550	att_lon_heavy_tra_cel	1	40	160	0	550			65	medium	-1		false	false	0	10865	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	0
att_cel_elite_highland_archers		0	light	2	false	att_cel_elite_highland_archers	200	0	525	att_lon_heavy_tra_cel	1	40	160	0	525			60	light	-1		false	false	0	10833	true		barbarian	att_inf_bow_land	att_special_transportship_naval	0
att_cel_fianna		0	medium	2	false	att_cel_fianna	200	0	375	att_lon_heavy_tra_cel	1	40	160	0	375			45	medium	-1		false	false	0	10843	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_cel_followers_of_morrigan		0	medium	2	false	att_cel_followers_of_morrigan	200	0	500	att_lon_heavy_tra_cel	1	40	160	0	500			60	medium	-1		false	false	0	10845	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_cel_gallowglass		0	heavy	2	false	att_cel_gallowglass	200	0	500	att_lon_heavy_tra_cel	1	40	160	0	500			60	heavy	-1		false	false	0	10855	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_cel_gazehounds		0	medium	2	false	att_cel_gazehounds	200	0	250	att_lon_light_tra_cel	1	10	40	0	250			30	medium	-1		false	false	0	10765	true		barbarian	att_special_wardog_land	att_special_transportship_naval	0
att_cel_highland_archers		0	light	2	false	att_cel_highland_archers	200	0	250	att_lon_heavy_tra_cel	1	40	160	0	250			30	light	-1		false	false	0	10858	true		barbarian	att_inf_bow_land	att_special_transportship_naval	0
att_cel_horse_whisperers		0	heavy	2	false	att_cel_horse_whisperers	200	0	575	att_lon_heavy_tra_cel	1	40	160	0	575			70	very_heavy	-1		false	false	0	10862	true		barbarian	att_inf_spear_land	att_special_transportship_naval	0
att_cel_kerns		0	heavy	2	false	att_cel_kerns	200	0	850	att_lon_heavy_tra_cel	1	40	160	0	850			105	very_heavy	-1		false	false	0	10875	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	0
att_cel_kings_fianna		0	heavy	2	false	att_cel_kings_fianna	200	0	800	att_lon_light_tra_cel	1	20	80	0	800			100	very_heavy	-1		false	false	0	10884	true		barbarian	att_cav_melee_land	att_special_transportship_naval	0
att_cel_kings_warband		0	heavy	2	false	att_cel_kings_warband	200	0	525	att_lon_heavy_tra_cel	1	40	160	0	525			65	very_heavy	-1		false	false	0	10894	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_cel_mormaer_cavalry		0	medium	2	false	att_cel_mormaer_cavalry	200	0	475	att_lon_light_tra_cel	1	20	80	0	475			55	medium	-1		false	false	0	10771	true		barbarian	att_cav_melee_land	att_special_transportship_naval	0
att_cel_noble_archers		0	light	2	false	att_cel_noble_archers	200	0	475	att_lon_heavy_tra_cel	1	40	160	0	475			55	light	-1		false	false	0	10903	true		barbarian	att_inf_bow_land	att_special_transportship_naval	0
att_cel_pictish_axemen		0	medium	2	false	att_cel_pictish_axemen	200	0	650	att_lon_heavy_tra_cel	1	40	160	0	650			80	medium	-1		false	false	0	10692	true		barbarian	att_inf_axe_land	att_special_transportship_naval	0
att_cel_pictish_berserkers		0	light	2	false	att_cel_pictish_berserkers	200	0	525	att_lon_heavy_tra_cel	1	40	160	0	525			65	light	-1		false	false	0	10710	true		barbarian	att_inf_axe_land	att_special_transportship_naval	0
att_cel_pictish_swordsmen		0	medium	2	false	att_cel_pictish_swordsmen	200	0	675	att_lon_heavy_tra_cel	1	40	160	0	675			85	medium	-1		false	false	0	10712	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
