unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/att_des_main_units																															
att_des_amazigh_lancers		0	light	2	false	att_des_amazigh_lancers	200	0	600	att_cor_light_rom	1	20	80	0	600			55	light	-1		false	false	0	8757	true		eastern	att_cav_shock_land	att_special_transportship_naval	0
att_des_amazigh_raiders		0	medium	2	false	att_des_amazigh_raiders	200	0	600	att_cor_light_rom	1	20	80	0	625			75	medium	-1		false	false	0	8772	true		eastern	att_cav_melee_land	att_special_transportship_naval	0
att_des_amazigh_spearmen		0	medium	2	false	att_des_amazigh_spearmen	200	0	500	att_cor_heavy_rom	1	40	160	0	500			65	medium	-1		false	false	0	8658	true		eastern	att_inf_spear_land	att_special_transportship_naval	0
att_des_arabic_horsemen		0	medium	2	false	att_des_arabic_horsemen	200	0	450	att_cor_light_rom	1	20	80	0	450			55	medium	-1		false	false	0	8730	true		eastern	att_cav_melee_land	att_special_transportship_naval	0
att_des_armoured_camel_warriors		0	heavy	2	false	att_des_armoured_camel_warriors	200	0	675	att_cor_light_rom	1	20	80	0	675			85	very_heavy	-1		false	false	0	8736	true		eastern	att_cav_melee_land	att_special_transportship_naval	0
att_des_camel_lancers		0	light	2	false	att_des_camel_lancers	200	0	500	att_cor_light_rom	1	20	80	0	525			70	light	-1		false	false	0	8765	true		eastern	att_cav_shock_land	att_special_transportship_naval	0
att_des_camel_warriors		0	light	2	false	att_des_camel_warriors	200	0	400	att_cor_light_rom	1	20	80	0	300			50	very_light	-1		false	false	0	8721	true		eastern	att_cav_melee_land	att_special_transportship_naval	0
att_des_desert_bowmen		0	light	2	false	att_des_desert_bowmen	200	0	160	att_cor_heavy_rom	1	40	160	0	120			20	very_light	-1		false	false	0	8711	true		eastern	att_inf_bow_land	att_special_transportship_naval	0
att_des_desert_chieftain		0	heavy	2	false	att_des_desert_chieftain	150	0	600	att_cor_light_rom	1	20	80	0	600			75	heavy	-1		false	false	0	8781	true		eastern	att_cav_melee_land	att_special_transportship_naval	0
att_des_desert_hurlers		0	light	2	false	att_des_desert_hurlers	200	0	170	att_cor_heavy_rom	1	40	160	0	120			20	very_light	-1		false	false	0	8701	true		eastern	att_inf_sling_land	att_special_transportship_naval	0
att_des_desert_legionary_defectors		0	heavy	2	false	att_des_desert_legionary_defectors	200	0	425	att_cor_heavy_rom	1	40	160	0	425			55	heavy	-1		false	false	0	8662	true		eastern	att_inf_sword_land	att_special_transportship_naval	0
att_des_desert_levy		0	medium	2	false	att_des_desert_levy	200	0	300	att_cor_heavy_rom	1	40	160	0	230			35	medium	-1		false	false	0	8651	true		eastern	att_inf_spear_land	att_special_transportship_naval	0
att_des_desert_mounted_javelinmen		0	light	2	false	att_des_desert_mounted_javelinmen	200	0	575	att_cor_light_rom	1	20	80	0	575			70	light	-1		false	false	0	8686	true		eastern	att_cav_javelin_land	att_special_transportship_naval	0
att_des_desert_mounted_skirmishers		0	light	2	false	att_des_desert_mounted_skirmishers	200	0	450	att_cor_light_rom	1	20	80	0	350			55	very_light	-1		false	false	0	8676	true		eastern	att_cav_javelin_land	att_special_transportship_naval	0
att_des_desert_palatina_defectors		0	medium	2	false	att_des_desert_palatina_defectors	200	0	475	att_cor_heavy_rom	1	40	160	0	475			65	medium	-1		false	false	0	8664	true		eastern	att_inf_sword_land	att_special_transportship_naval	0
att_des_desert_raiders		0	light	2	false	att_des_desert_raiders	200	0	550	att_cor_light_rom	1	20	80	0	425			35	very_light	-1		false	false	0	8767	true		eastern	att_cav_melee_land	att_special_transportship_naval	0
att_des_desert_spears		0	heavy	2	false	att_des_desert_spears	200	0	425	att_cor_heavy_rom	1	40	160	0	325			50	heavy	-1		false	false	0	8656	true		eastern	att_inf_spear_land	att_special_transportship_naval	0
