unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/att_est_main_units																															
att_est_armenian_slingers		0	medium	3	false	att_est_armenian_slingers	200	0	400	att_cor_heavy_rom	1	40	160	0	400			55	medium	-1		false	false	0	7986	true		eastern	att_inf_sling_land	att_special_transportship_naval	0
att_est_armenian_spears		0	heavy	3	false	att_est_armenian_spears	300	0	450	att_cor_heavy_rom	1	40	160	0	450			55	heavy	-1		false	false	0	7921	true		eastern	att_inf_spear_land	att_special_transportship_naval	0
att_est_civilian_farmers		0	medium	0	false	att_est_civilian_farmers	200	0	0	att_cor_light_rom	1	10	40	0	0			0	very_light	-1		false	false	0	10388	true		eastern	att_inf_spear_land	att_special_transportship_naval	0
att_est_civilian_townsfolk		0	medium	0	false	att_est_civilian_townsfolk	200	0	0	att_cor_light_rom	1	10	40	0	0			0	very_light	-1		false	false	0	10446	true		eastern	att_inf_sword_land	att_special_transportship_naval	0
att_est_dailamite_warriors		0	medium	3	false	att_est_dailamite_warriors	300	0	400	att_cor_heavy_rom	1	40	160	0	400			50	medium	-1		false	false	0	7940	true		eastern	att_inf_sword_land	att_special_transportship_naval	0
att_est_elite_dailamite_infantry		0	heavy	3	false	att_est_elite_dailamite_infantry	300	0	550	att_cor_heavy_rom	1	40	160	0	550			75	heavy	-1		false	false	0	7950	true		eastern	att_inf_sword_land	att_special_transportship_naval	0
att_est_elite_immortals		0	heavy	3	false	att_est_elite_immortals	300	0	750	att_cor_heavy_rom	1	40	160	0	750			125	very_heavy	-1		false	false	0	7933	true		eastern	att_inf_spear_land	att_special_transportship_naval	0
att_est_elite_savaran_cavalry		0	medium	3	false	att_est_elite_savaran_cavalry	200	0	825	att_cor_light_rom	1	20	80	0	825			110	medium	-1		false	false	0	8016	true		eastern	att_cav_crossbow_land	att_special_transportship_naval	0
att_est_grivpanvar_cataphracts		0	heavy	3	false	att_est_grivpanvar_cataphracts	200	0	600	att_cor_light_rom	1	20	80	0	600			75	heavy	-1		false	false	0	8047	true		eastern	att_cav_shock_land	att_special_transportship_naval	0
att_est_gyan_avspar		0	heavy	3	false	att_est_gyan_avspar	200	0	950	att_cor_light_rom	1	20	80	0	950			140	very_heavy	-1		false	false	0	8067	true		eastern	att_cav_shock_land	att_special_transportship_naval	0
att_est_immortals		0	heavy	3	false	att_est_immortals	300	0	700	att_cor_heavy_rom	1	40	160	0	700			105	very_heavy	-1		false	false	0	7923	true		eastern	att_inf_spear_land	att_special_transportship_naval	0
att_est_kurdish_archers		0	medium	3	false	att_est_kurdish_archers	200	0	625	att_cor_heavy_rom	1	40	160	0	625			85	medium	-1		false	false	0	8017	true		eastern	att_inf_bow_land	att_special_transportship_naval	0
att_est_kurdish_javelinmen		0	light	3	false	att_est_kurdish_javelinmen	200	0	625	att_cor_heavy_rom	1	40	160	0	625			75	very_light	-1		false	false	0	7976	true		eastern	att_inf_javelin_land	att_special_transportship_naval	0
att_est_lakhmid_scouts		0	light	3	false	att_est_lakhmid_scouts	200	0	450	att_cor_light_rom	1	20	80	0	475			60	light	-1		false	false	0	8082	true		eastern	att_cav_melee_land	att_special_transportship_naval	0
att_est_paighan_band		0	medium	3	false	att_est_paighan_band	300	0	250	att_cor_heavy_rom	1	40	160	0	190			30	medium	-1		false	false	0	7953	true		eastern	att_inf_spear_land	att_special_transportship_naval	0
att_est_persian_bowmen		0	light	3	false	att_est_persian_bowmen	200	0	475	att_cor_heavy_rom	1	40	160	0	475			60	light	-1		false	false	0	8005	true		eastern	att_inf_bow_land	att_special_transportship_naval	0
att_est_persian_bows		0	light	3	false	att_est_persian_bows	200	0	240	att_cor_heavy_rom	1	40	160	0	240			30	very_light	-1		false	false	0	7992	true		eastern	att_inf_bow_land	att_special_transportship_naval	0
att_est_persian_brigade		0	light	3	false	att_est_persian_brigade	300	0	275	att_cor_heavy_rom	1	40	160	0	275			35	light	-1		false	false	0	7962	true		eastern	att_inf_sword_land	att_special_transportship_naval	0
att_est_persian_camel_archers		0	medium	3	false	att_est_persian_camel_archers	200	0	875	att_cor_light_rom	1	20	80	0	900			120	medium	-1		false	false	0	8018	true		eastern	att_cav_bow_land	att_special_transportship_naval	0
att_est_persian_camel_raiders		0	medium	3	false	att_est_persian_camel_raiders	200	0	725	att_cor_light_rom	1	20	80	0	750			90	medium	-1		false	false	0	8083	true		eastern	att_cav_melee_land	att_special_transportship_naval	0
att_est_persian_cataphracts		0	medium	3	false	att_est_persian_cataphracts	200	0	425	att_cor_light_rom	1	20	80	0	425			50	medium	-1		false	false	0	8044	true		eastern	att_cav_shock_land	att_special_transportship_naval	0
att_est_persian_hurlers		0	light	3	false	att_est_persian_hurlers	200	0	250	att_cor_heavy_rom	1	40	160	0	250			30	very_light	-1		false	false	0	7977	true		eastern	att_inf_sling_land	att_special_transportship_naval	0
att_est_persian_levy		0	medium	3	false	att_est_persian_levy	300	0	300	att_cor_heavy_rom	1	40	160	0	300			35	medium	-1		false	false	0	7917	true		eastern	att_inf_spear_land	att_special_transportship_naval	0
att_est_persian_mounted_bowmen		0	light	3	false	att_est_persian_mounted_bowmen	200	0	375	att_cor_light_rom	1	20	80	0	375			45	very_light	-1		false	false	0	7998	true		eastern	att_cav_bow_land	att_special_transportship_naval	0
att_est_persian_mounted_warriors		0	medium	3	false	att_est_persian_mounted_warriors	200	0	475	att_cor_light_rom	1	20	80	0	350			60	medium	-1		false	false	0	8035	true		eastern	att_cav_melee_land	att_special_transportship_naval	0
att_est_persian_scouts		0	light	3	false	att_est_persian_scouts	200	0	400	att_cor_light_rom	1	20	80	0	325			50	very_light	-1		false	false	0	8073	true		eastern	att_cav_melee_land	att_special_transportship_naval	0
att_est_persian_skirmishers		0	light	3	false	att_est_persian_skirmishers	200	0	350	att_cor_heavy_rom	1	40	160	0	350			40	very_light	-1		false	false	0	7974	true		eastern	att_inf_javelin_land	att_special_transportship_naval	0
att_est_pushtighban_cataphracts		0	heavy	3	false	att_est_pushtighban_cataphracts	200	0	825	att_cor_light_rom	1	20	80	0	825			110	very_heavy	-1		false	false	0	8059	true		eastern	att_cav_shock_land	att_special_transportship_naval	0
