unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/att_ger_main_units																															
att_ger_agathyrsi_warriors		0	medium	2	false	att_ger_agathyrsi_warriors	200	0	550	att_lon_heavy_tra_ger	1	40	160	0	550			65	medium	-1		false	false	0	7078	true		nomad	att_inf_sword_land	att_special_transportship_naval	0
att_ger_alamannic_scavengers		0	heavy	2	false	att_ger_alamannic_scavengers	200	0	425	att_lon_heavy_tra_ger	1	40	160	0	425			50	heavy	-1		false	false	0	10723	true		barbarian	att_inf_spear_land	att_special_transportship_naval	0
att_ger_alani_general		0	heavy	2	false	att_ger_alani_general	200	0	725	att_lon_light_tra_ger	1	20	80	0	900			135	heavy	-1		false	false	0	7352	true		nomad	att_cav_shock_land	att_special_transportship_naval	0
att_ger_antrustriones_cavalry_guard		0	heavy	2	false	att_ger_antrustriones_cavalry_guard	200	0	725	att_lon_light_tra_ger	1	20	80	0	725			100	heavy	-1		false	false	0	8520	true		barbarian	att_cav_shock_land	att_special_transportship_naval	0
att_ger_axe_heerbann		0	medium	2	false	att_ger_axe_heerbann	200	0	650	att_lon_heavy_tra_ger	1	40	160	0	650			80	medium	-1		false	false	0	8299	true		barbarian	att_inf_axe_land	att_special_transportship_naval	0
att_ger_bagaudae		0	light	2	false	att_ger_bagaudae	200	0	100	att_lon_heavy_tra_ger	1	40	160	0	50			15	light	-1		false	false	0	8362	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_ger_barbed_javelinmen		0	medium	2	false	att_ger_barbed_javelinmen	200	0	650	att_lon_heavy_tra_ger	1	40	160	0	675			80	medium	-1		false	false	0	10694	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	0
att_ger_barbed_lancers		0	medium	2	false	att_ger_barbed_lancers	200	0	600	att_lon_light_tra_ger	1	20	80	0	600			70	medium	-1		false	false	0	10690	true		barbarian	att_cav_shock_land	att_special_transportship_naval	0
att_ger_barbed_skirmishers		0	light	2	false	att_ger_barbed_skirmishers	200	0	475	att_lon_heavy_tra_ger	1	40	160	0	375			60	light	-1		false	false	0	10688	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	0
att_ger_bejewelled_retinue		0	heavy	2	false	att_ger_bejewelled_retinue	200	0	550	att_lon_heavy_tra_ger	1	40	160	0	675			105	very_heavy	-1		false	false	0	10742	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_ger_burgundian_axemen		0	medium	2	false	att_ger_burgundian_axemen	200	0	550	att_lon_heavy_tra_ger	1	40	160	0	550			60	medium	-1		false	false	0	10715	true		barbarian	att_inf_axe_land	att_special_transportship_naval	0
att_ger_burgundian_guard		0	medium	2	false	att_ger_burgundian_guard	200	0	600	att_lon_heavy_tra_ger	1	40	160	0	600			65	medium	-1		false	false	0	10774	true		barbarian	att_inf_axe_land	att_special_transportship_naval	0
att_ger_burgundian_mounted_axemen		0	medium	2	false	att_ger_burgundian_mounted_axemen	200	0	800	att_lon_light_tra_ger	1	20	80	0	800			100	medium	-1		false	false	0	10685	true		barbarian	att_cav_melee_land	att_special_transportship_naval	0
att_ger_burgundian_warhounds		0	light	2	false	att_ger_burgundian_warhounds	200	0	160	att_lon_heavy_tra_ger	1	10	40	0	120			20	very_light	-1		false	false	0	10719	true		barbarian	att_special_wardog_land	att_special_transportship_naval	0
att_ger_chnodomar's_entourage		0	heavy	2	false	att_ger_chnodomar's_entourage	200	0	800	att_lon_heavy_tra_ger	1	20	80	0	800			55	heavy	-1		false	false	0	10749	true		barbarian	att_cav_melee_land	att_special_transportship_naval	0
att_ger_chnodomar's_raiders		0	heavy	2	false	att_ger_chnodomar's_raiders	200	0	925	att_lon_light_tra_ger	1	20	80	0	925			65	heavy	-1		false	false	0	10753	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	0
att_ger_chosen_vandal_raiders		0	light	2	false	att_ger_chosen_vandal_raiders	200	0	775	att_lon_light_tra_ger	1	20	80	0	800			100	light	-1		false	false	0	8602	true		barbarian	att_cav_melee_land	att_special_transportship_naval	0
att_ger_civilian_farmers		0	medium	0	false	att_ger_civilian_farmers	200	0	0	att_cor_light_rom	1	10	40	0	0			0	very_light	-1		false	false	0	10396	true		eastern	att_inf_spear_land	att_special_transportship_naval	0
att_ger_civilian_townsfolk		0	medium	0	false	att_ger_civilian_townsfolk	200	0	0	att_cor_light_rom	1	10	40	0	0			0	very_light	-1		false	false	0	10452	true		eastern	att_inf_sword_land	att_special_transportship_naval	0
att_ger_elite_agathyrsi_cavalry		0	heavy	2	false	att_ger_elite_agathyrsi_cavalry	200	0	850	att_lon_light_tra_ger	1	20	80	0	850			115	heavy	-1		false	false	0	7210	true		nomad	att_cav_melee_land	att_special_transportship_naval	0
att_ger_elite_agathyrsi_warriors		0	heavy	2	false	att_ger_elite_agathyrsi_warriors	200	0	675	att_lon_heavy_tra_ger	1	40	160	0	675			90	heavy	-1		false	false	0	7084	true		nomad	att_inf_sword_land	att_special_transportship_naval	0
att_ger_elite_alamannic_scavengers		0	heavy	2	false	att_ger_elite_alamannic_scavengers	200	0	600	att_lon_heavy_tra_ger	1	40	160	0	600			80	heavy	-1		false	false	0	10732	true		barbarian	att_inf_spear_land	att_special_transportship_naval	0
att_ger_elite_germanic_archers		0	light	2	false	att_ger_elite_germanic_archers	200	0	425	att_lon_heavy_tra_ger	1	40	160	0	425			60	light	-1		false	false	0	8458	true		barbarian	att_inf_bow_land	att_special_transportship_naval	0
att_ger_elite_ostrogothic_pikemen		0	heavy	2	false	att_ger_elite_ostrogothic_pikemen	200	0	425	att_lon_heavy_tra_ger	1	40	160	0	425			55	heavy	-1		false	false	0	8222	true		barbarian	att_inf_pike_land	att_special_transportship_naval	0
att_ger_elite_sarmatian_cataphracts		0	heavy	2	false	att_ger_elite_sarmatian_cataphracts	200	0	725	att_lon_light_tra_ger	1	20	80	0	725			100	heavy	-1		false	false	0	7268	true		nomad	att_cav_shock_land	att_special_transportship_naval	0
att_ger_elite_scattershot_slingers		0	heavy	2	false	att_ger_elite_scattershot_slingers	200	0	725	att_lon_heavy_tra_ger	1	40	160	0	725			90	very_heavy	-1		false	false	0	10708	true		barbarian	att_inf_sling_land	att_special_transportship_naval	0
att_ger_elite_sword_heerbann		0	heavy	2	false	att_ger_elite_sword_heerbann	200	0	700	att_lon_heavy_tra_ger	1	40	160	0	700			95	heavy	-1		false	false	0	8240	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_ger_francisca_heerbann		0	medium	2	false	att_ger_francisca_heerbann	200	0	750	att_lon_heavy_tra_ger	1	40	160	0	750			100	medium	-1		false	false	0	6990	true		barbarian	att_inf_axe_land	att_special_transportship_naval	0
att_ger_frankish_general		0	medium	2	false	att_ger_frankish_general	200	0	750	att_lon_light_tra_ger	1	20	80	0	925			145	medium	-1		false	false	0	8635	true		barbarian	att_cav_melee_land	att_special_transportship_naval	0
att_ger_frankish_lancers		0	medium	2	false	att_ger_frankish_lancers	200	0	600	att_lon_light_tra_ger	1	20	80	0	600			75	medium	-1		false	false	0	8506	true		barbarian	att_cav_shock_land	att_special_transportship_naval	0
att_ger_frankish_skirmishers		0	medium	2	false	att_ger_frankish_skirmishers	200	0	575	att_lon_heavy_tra_ger	1	40	160	0	425			70	medium	-1		false	false	0	8382	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	0
att_ger_freemen		0	light	2	false	att_ger_freemen	200	0	240	att_lon_heavy_tra_ger	1	40	160	0	180			30	light	-1		false	false	0	8278	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_ger_gardingi_cavalry		0	heavy	2	false	att_ger_gardingi_cavalry	200	0	900	att_lon_light_tra_ger	1	20	80	0	900			135	heavy	-1		false	false	0	8397	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	0
att_ger_germanic_archers		0	light	2	false	att_ger_germanic_archers	200	0	250	att_lon_heavy_tra_ger	1	40	160	0	250			30	very_light	-1		false	false	0	8438	true		barbarian	att_inf_bow_land	att_special_transportship_naval	0
att_ger_germanic_band		0	light	2	false	att_ger_germanic_band	200	0	350	att_lon_heavy_tra_ger	1	40	160	0	250			40	light	-1		false	false	0	8288	true		barbarian	att_inf_axe_land	att_special_transportship_naval	0
att_ger_germanic_bowmen		0	light	2	false	att_ger_germanic_hunters	200	0	170	att_lon_heavy_tra_ger	1	40	160	0	120			20	very_light	-1		false	false	0	10689	true		barbarian	att_inf_bow_land	att_special_transportship_naval	0
att_ger_germanic_bows		0	light	2	false	att_ger_germanic_bows	200	0	100	att_lon_heavy_tra_ger	1	40	160	0	80			15	very_light	-1		false	false	0	8425	true		barbarian	att_inf_bow_land	att_special_transportship_naval	0
att_ger_germanic_brigands		0	light	2	false	att_ger_germanic_brigands	200	0	275	att_lon_heavy_tra_ger	1	40	160	0	210			35	light	-1		false	false	0	8562	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	0
att_ger_germanic_crossbowmen		0	light	2	false	att_ger_germanic_crossbowmen	200	0	475	att_lon_heavy_tra_ger	1	40	160	0	475			60	very_light	-1		false	false	0	6998	true		barbarian	att_inf_crossbow_land	att_special_transportship_naval	0
att_ger_germanic_horsemen		0	medium	2	false	att_ger_germanic_horsemen	200	0	500	att_lon_light_tra_ger	1	20	80	0	500			60	medium	-1		false	false	0	8483	true		barbarian	att_cav_melee_land	att_special_transportship_naval	0
att_ger_germanic_hurlers		0	light	2	false	att_ger_germanic_hurlers	200	0	180	att_lon_heavy_tra_ger	1	40	160	0	130			20	very_light	-1		false	false	0	8410	true		barbarian	att_inf_sling_land	att_special_transportship_naval	0
att_ger_germanic_lancers		0	medium	2	false	att_ger_germanic_lancers	200	0	500	att_lon_light_tra_ger	1	20	80	0	375			60	medium	-1		false	false	0	8508	true		barbarian	att_cav_shock_land	att_special_transportship_naval	0
att_ger_germanic_levy		0	light	2	false	att_ger_germanic_levy	200	0	300	att_lon_heavy_tra_ger	1	40	160	0	220			25	light	-1		false	false	0	8152	true		barbarian	att_inf_spear_land	att_special_transportship_naval	0
att_ger_germanic_mounted_brigands		0	light	2	false	att_ger_germanic_mounted_brigands	200	0	600	att_lon_light_tra_ger	1	20	80	0	475			75	very_light	-1		false	false	0	8572	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	0
att_ger_germanic_mounted_warband		0	light	2	false	att_ger_germanic_mounted_warband	200	0	400	att_lon_light_tra_ger	1	20	80	0	300			45	very_light	-1		false	false	0	8471	true		barbarian	att_cav_melee_land	att_special_transportship_naval	0
att_ger_germanic_night_raiders		0	light	2	false	att_ger_germanic_night_raiders	200	0	725	att_lon_light_tra_ger	1	20	80	0	750			90	light	-1		false	false	0	8589	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	0
att_ger_germanic_pikes		0	light	2	false	att_ger_germanic_pikes	200	0	210	att_lon_heavy_tra_ger	1	40	160	0	160			25	very_light	-1		false	false	0	8209	true		barbarian	att_inf_pike_land	att_special_transportship_naval	0
att_ger_germanic_raiders		0	light	2	false	att_ger_germanic_raiders	200	0	625	att_lon_light_tra_ger	1	20	80	0	650			80	very_light	-1		false	false	0	8579	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	0
att_ger_germanic_spear_masters		0	heavy	2	false	att_ger_germanic_spear_masters	200	0	625	att_lon_heavy_tra_ger	1	40	160	0	625			85	heavy	-1		false	false	0	8186	true		barbarian	att_inf_spear_land	att_special_transportship_naval	0
att_ger_germanic_spearmen		0	heavy	2	false	att_ger_germanic_spearmen	200	0	425	att_lon_heavy_tra_ger	1	40	160	0	425			50	heavy	-1		false	false	0	8166	true		barbarian	att_inf_spear_land	att_special_transportship_naval	0
att_ger_germanic_warband		0	medium	2	false	att_ger_germanic_warband	200	0	425	att_lon_heavy_tra_ger	1	40	160	0	325			50	medium	-1		false	false	0	8289	true		barbarian	att_inf_axe_land	att_special_transportship_naval	0
att_ger_godan's_chosen		0	medium	2	false	att_ger_godan's_chosen	200	0	750	att_lon_heavy_tra_ger	1	40	160	0	750			90	medium	-1		false	false	0	10721	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_ger_godan's_warlord		0	medium	2	false	att_ger_godan's_warlord	200	0	700	att_lon_heavy_tra_ger	1	40	160	0	700			85	medium	-1		false	false	0	10767	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_ger_godansmen		0	medium	2	false	att_ger_godansmen	200	0	550	att_lon_heavy_tra_ger	1	40	160	0	550			65	medium	-1		false	false	0	10717	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_ger_gothic_general		0	heavy	2	false	att_ger_gothic_general	200	0	700	att_lon_light_tra_ger	1	20	80	0	700			115	heavy	-1		false	false	0	8644	true		barbarian	att_cav_melee_land	att_special_transportship_naval	0
att_ger_grey_hairs		0	medium	2	false	att_alan_grey_hair	200	0	700	att_lon_light_tra_ger	1	20	80	0	700			105	medium	-1		false	false	0	7177	true		nomad	att_cav_bow_land	att_special_transportship_naval	0
att_ger_horse_slayers		0	light	2	false	att_ger_horse_slayers	200	0	450	att_lon_heavy_tra_ger	1	40	160	0	475			55	light	-1		false	false	0	10727	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_ger_horse_stabbers		0	light	2	false	att_ger_horse_stabbers	200	0	350	att_lon_heavy_tra_ger	1	40	160	0	350			45	light	-1		false	false	0	10724	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_ger_jewelled_nobles		0	heavy	2	false	att_ger_jewelled_nobles	200	0	600	att_lon_heavy_tra_ger	1	40	160	0	750			115	very_heavy	-1		false	false	0	10750	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_ger_langobard_clubmen		0	heavy	2	false	att_ger_langobard_clubmen	200	0	325	att_lon_heavy_tra_ger	1	40	160	0	240			40	heavy	-1		false	false	0	10728	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_ger_light_moorish_cavalry		0	light	2	false	att_ger_light_moorish_cavalry	200	0	575	att_lon_light_tra_ger	1	20	80	0	575			80	very_light	-1		false	false	0	8537	true		barbarian	att_cav_shock_land	att_special_transportship_naval	0
att_ger_noble_alani_cavalry		0	heavy	2	false	att_ger_noble_alani_cavalry	200	0	675	att_lon_light_tra_ger	1	20	80	0	850			130	heavy	-1		false	false	0	8488	true		barbarian	att_cav_melee_land	att_special_transportship_naval	0
att_ger_noble_germanic_horsemen		0	heavy	2	false	att_ger_noble_germanic_horsemen	200	0	725	att_lon_light_tra_ger	1	20	80	0	900			140	heavy	-1		false	false	0	8491	true		barbarian	att_cav_melee_land	att_special_transportship_naval	0
