unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/att_nom_main_units																															
att_nom_avar_horde		0	light	1	false	att_nom_avar_horde	200	0	900	att_cor_light_rom	1	20	80	0	900			135	light	-1		false	false	0	7168	true		nomad	att_cav_bow_land	att_special_transportship_naval	0
att_nom_bosphoran_infantry		0	heavy	1	false	att_nom_bosphoran_infantry	200	0	550	att_cor_heavy_rom	1	40	160	0	550			75	very_heavy	-1		false	false	0	7061	true		nomad	att_inf_sword_land	att_special_transportship_naval	0
att_nom_bosphoran_warriors		0	heavy	1	false	att_nom_bosphoran_warriors	200	0	450	att_cor_heavy_rom	1	40	160	0	450			50	heavy	-1		false	false	0	7058	true		nomad	att_inf_sword_land	att_special_transportship_naval	0
att_nom_chosen_uar_warriors		0	medium	1	false	att_nom_chosen_uar_warriors	200	0	725	att_cor_heavy_rom	1	40	160	0	725			105	medium	-1		false	false	0	7102	true		nomad	att_inf_sword_land	att_special_transportship_naval	0
att_nom_civilian_farmers		0	medium	0	false	att_nom_civilian_farmers	200	0	0	att_cor_light_rom	1	10	40	0	0			0	very_light	-1		false	false	0	10438	true		eastern	att_inf_spear_land	att_special_transportship_naval	0
att_nom_civilian_townsfolk		0	medium	0	false	att_nom_civilian_townsfolk	200	0	0	att_cor_light_rom	1	10	40	0	0			0	very_light	-1		false	false	0	10469	true		eastern	att_inf_sword_land	att_special_transportship_naval	0
att_nom_elite_hunnic_lancers		0	medium	1	false	att_nom_elite_hunnic_lancers	200	0	725	att_cor_light_rom	1	20	80	0	725			95	medium	-1		false	false	0	7261	true		nomad	att_cav_shock_land	att_special_transportship_naval	0
att_nom_first_wave_lancers		0	light	1	false	att_nom_first_wave_lancers	200	0	775	att_cor_light_rom	1	20	80	0	775			115	light	-1		false	false	0	7283	true		nomad	att_cav_shock_land	att_special_transportship_naval	0
att_nom_hunnic_ambushers		0	light	1	false	att_nom_hunnic_ambushers	200	0	750	att_cor_light_rom	1	20	80	0	775			105	light	-1		false	false	0	7309	true		nomad	att_cav_bow_land	att_special_transportship_naval	0
att_nom_hunnic_devil_archers		0	medium	1	false	att_nom_hunnic_devil_archers	200	0	850	att_cor_light_rom	1	20	80	0	850			105	medium	-1		false	false	0	7183	true		nomad	att_cav_bow_land	att_special_transportship_naval	0
att_nom_hunnic_devil_cavalry		0	medium	1	false	att_nom_hunnic_devil_cavalry	200	0	800	att_cor_light_rom	1	20	80	0	800			90	medium	-1		false	false	0	7215	true		nomad	att_cav_melee_land	att_special_transportship_naval	0
