unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/att_other_main_units																															
att_alan_alani_cavalry_raiders		0	light	2	false	att_alan_alani_cavalry_raiders	200	0	450	att_lon_light_tra_hun	1	40	80	0	450			65	very_light	-1		false	false	0	14126	true		nomad	att_cav_javelin_land	att_special_transportship_naval	0
att_alan_alani_cavalry_warriors		0	generic	2	false	att_alan_alani_cavalry_warriors	200	0	400	att_lon_light_tra_hun	1	20	80	0	400			45	medium	-1		false	false	0	14127	true		nomad	att_cav_melee_land	att_special_transportship_naval	0
att_alan_alani_chosen_raiders		0	medium	2	false	att_alan_alani_chosen_raiders	200	0	900	att_lon_light_tra_hun	1	40	80	0	900			150	medium	-1		false	false	0	14136	true		nomad	att_cav_javelin_land	att_special_transportship_naval	0
att_alan_alani_horse_archers		0	light	2	false	att_alan_alani_horse_archers	200	0	475	att_lon_light_tra_hun	1	20	80	0	475			60	very_light	-1		false	false	0	14149	true		nomad	att_cav_bow_land	att_special_transportship_naval	0
att_alan_alani_mounted_bows		0	light	2	false	att_alan_alani_mounted_bows	200	0	450	att_lon_light_tra_hun	1	20	80	0	450			50	very_light	-1		false	false	0	14144	true		nomad	att_cav_bow_land	att_special_transportship_naval	0
att_alan_alani_mounted_sword_raiders		0	medium	2	false	att_alan_alani_mounted_sword_raiders	200	0	600	att_lon_light_tra_hun	1	40	80	0	600			80	medium	-1		false	false	0	14128	true		nomad	att_cav_javelin_land	att_special_transportship_naval	0
att_alan_alani_nobles_general		0	medium	2	false	att_alan_alani_nobles_general	200	0	450	att_lon_light_tra_ger	1	20	80	0	450			50	medium	-1		false	false	0	14118	true		nomad	att_cav_shock_land	att_special_transportship_naval	0
att_alan_alani_swordsmen		0	medium	2	false	att_alan_alani_swordsmen	200	0	300	att_lon_light_tra_hun	1	40	160	0	550			75	medium	-1		false	false	0	14121	true		nomad	att_inf_sword_land	att_special_transportship_naval	0
att_alan_alani_warriors		0	light	2	false	att_alan_alani_warriors	200	0	300	att_lon_light_tra_hun	1	40	160	0	300			50	medium	-1		false	false	0	14116	true		nomad	att_inf_sword_land	att_special_transportship_naval	0
att_alan_anti_cav_light_tier_3		0	medium	2	false	att_alan_anti_cav_light_tier_3	200	0	500	att_lon_light_tra_hun	1	20	80	0	500			85	medium	-1		false	false	0	14135	true		nomad	att_cav_melee_land	att_special_transportship_naval	0
att_alan_anti_cav_light_tier_4		0	medium	2	false	att_alan_anti_cav_light_tier_4	200	0	650	att_lon_light_tra_hun	1	20	80	0	650			125	medium	-1		false	false	0	14140	true		nomad	att_cav_melee_land	att_special_transportship_naval	0
att_alan_sarmatian_band		0	light	2	false	att_alan_sarmatian_band	200	0	150	att_lon_light_tra_hun	1	40	160	0	150			20	medium	-1		false	false	0	14111	true		nomad	att_inf_sword_land	att_special_transportship_naval	0
att_alan_sarmatian_cataphracts_infantry_destroyer_tier_5		0	heavy	3	false	att_alan_sarmatian_cataphracts_infantry_destroyer_tier_5	200	0	1150	att_lon_light_tra_hun	1	20	80	0	1150			160	very_heavy	-1		false	false	0	14114	true		nomad	att_cav_melee_land	att_special_transportship_naval	0
att_alan_sarmatian_shock_tier_1		0	medium	2	false	att_alan_sarmatian_shock_tier_1	200	0	400	att_lon_light_tra_hun	1	20	80	0	400			50	medium	-1		false	false	0	14110	true		nomad	att_cav_shock_land	att_special_transportship_naval	0
att_alan_sarmatian_shock_tier_4		0	heavy	2	false	att_alan_sarmatian_shock_tier_4	200	0	980	att_lon_light_tra_hun	1	20	80	0	980			135	medium	-1		false	false	0	14112	true		nomad	att_cav_shock_land	att_special_transportship_naval	0
att_alan_tank		0	heavy	3	false	att_alan_tank	200	0	1200	att_lon_light_tra_hun	1	20	80	0	1200			160	very_heavy	-1		false	false	0	14109	true		nomad	att_cav_shock_land	att_special_transportship_naval	0
att_merc_cel_celtic_archers		0	light_merc	1	false	att_merc_cel_celtic_archers	200	0	100	att_lon_heavy_tra_cel	1	40	160	0	500			40	very_light	-1		false	false	0	55740	true		barbarian	att_inf_bow_land	att_special_transportship_naval	0
att_merc_cel_celtic_berserkers		0	light_merc	1	false	att_merc_cel_celtic_berserkers	200	0	325	att_lon_heavy_tra_cel	1	40	160	0	1625			130	very_light	-1		false	false	0	10696	true		barbarian	att_inf_axe_land	att_special_transportship_naval	0
att_merc_cel_celtic_skirmishers		0	light_merc	1	false	att_merc_cel_celtic_skirmishers	200	0	300	att_lon_heavy_tra_cel	1	40	160	0	1500			125	light	-1		false	false	0	55721	true		barbarian	att_inf_javelin_land	att_special_transportship_naval	0
att_merc_cel_celtic_warband		0	medium_merc	1	false	att_merc_cel_celtic_warband	200	0	200	att_lon_heavy_tra_cel	1	40	160	0	1000			75	medium	-1		false	false	0	55723	true		barbarian	att_inf_sword_land	att_special_transportship_naval	0
att_merc_cel_mounted_spear_raiders		0	medium_merc	1	false	att_merc_cel_mounted_spear_raiders	200	0	400	att_lon_light_tra_cel	1	20	80	0	2000			170	medium	-1		false	false	0	55738	true		barbarian	att_cav_javelin_land	att_special_transportship_naval	0
att_merc_des_camel_warriors		0	light_merc	1	false	att_merc_des_camel_warriors	200	0	300	att_cor_light_rom	1	20	80	0	1100			125	very_light	-1		false	false	0	8817	true		eastern	att_cav_melee_land	att_special_transportship_naval	0
att_merc_des_desert_bowmen		0	light_merc	1	false	att_merc_des_desert_bowmen	200	0	110	att_cor_heavy_rom	1	40	160	0	400			45	very_light	-1		false	false	0	8808	true		eastern	att_inf_bow_land	att_special_transportship_naval	0
att_merc_des_desert_hurlers		0	light_merc	1	false	att_merc_des_desert_hurlers	200	0	120	att_cor_heavy_rom	1	40	160	0	450			50	very_light	-1		false	false	0	8803	true		eastern	att_inf_sling_land	att_special_transportship_naval	0
