unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/att_rom_main_units																															
att_rom_armigeri_defensores		0	heavy	4	false	att_rom_armigeri_defensores	300	0	400	att_cor_heavy_rom	1	40	160	0	400			50	heavy	-1		false	false	0	55688	true		roman	att_inf_sword_land	att_special_transportship_naval	0
att_rom_balistarii		0	light	4	false	att_rom_ballistarii	200	0	325	att_cor_heavy_rom	1	40	160	0	325			40	very_light	-1		false	false	0	55689	true		roman	att_inf_crossbow_land	att_special_transportship_naval	0
att_rom_civilian_farmers		0	medium	0	false	att_rom_civilian_farmers	200	0	0	att_cor_light_rom	1	10	40	0	0			0	very_light	-1		false	false	0	55691	true		eastern	att_inf_spear_land	att_special_transportship_naval	0
att_rom_civilian_townsfolk		0	medium	0	false	att_rom_civilian_townsfolk	200	0	0	att_cor_light_rom	1	10	40	0	0			0	very_light	-1		false	false	0	55692	true		eastern	att_inf_sword_land	att_special_transportship_naval	0
att_rom_eastern_armoured_legio		0	heavy	4	false	att_rom_eastern_armoured_legio	300	0	500	att_cor_heavy_rom	1	40	160	0	500			60	very_heavy	-1		false	false	0	55693	true		roman	att_inf_sword_land	att_special_transportship_naval	0
att_rom_eastern_auxilia_palatina		0	heavy	4	false	att_rom_eastern_auxilia_palatina	300	0	650	att_cor_heavy_rom	1	40	160	0	650			95	very_heavy	-1		false	false	0	55694	true		roman	att_inf_spear_land	att_special_transportship_naval	0
att_rom_elite_ballistarii		0	medium	4	false	att_rom_elite_ballistarii	200	0	675	att_cor_heavy_rom	1	40	160	0	675			90	medium	-1		false	false	0	55695	true		roman	att_inf_crossbow_land	att_special_transportship_naval	0
att_rom_elite_palatina		0	medium	4	false	att_rom_elite_palatina	300	0	650	att_cor_heavy_rom	1	40	160	0	650			85	medium	-1		false	false	0	55696	true		roman	att_inf_sword_land	att_special_transportship_naval	0
att_rom_excubitores_cavalry_guard		0	medium	4	false	att_rom_excubitores_cavalry_guard	200	0	725	att_cor_light_rom	1	20	80	0	725			100	medium	-1		false	false	0	55697	true		roman	att_cav_melee_land	att_special_transportship_naval	0
att_rom_exculcatores		0	light	4	false	att_rom_exculcatores	200	0	500	att_cor_heavy_rom	1	40	160	0	500			60	light	-1		false	false	0	55698	true		roman	att_inf_javelin_land	att_special_transportship_naval	0
att_rom_exploratores		0	medium	4	false	att_rom_exploratores	300	0	325	att_cor_heavy_rom	1	40	160	0	325			40	medium	-1		false	false	0	55699	true		roman	att_inf_sword_land	att_special_transportship_naval	0
att_rom_hetaireia_guards		0	heavy	4	false	att_rom_hetaireia_guards	300	0	875	att_cor_heavy_rom	1	40	160	0	875			155	heavy	-1		false	false	0	55700	true		roman	att_inf_axe_land	att_special_transportship_naval	0
att_rom_lanciarii_seniores		0	heavy	4	false	att_rom_lanciarii_seniores	300	0	500	att_cor_heavy_rom	1	40	160	0	500			60	very_heavy	-1		false	false	0	55701	true		roman	att_inf_spear_land	att_special_transportship_naval	0
att_rom_legio_comitatenses		0	heavy	4	false	att_rom_legio_comitatenses	300	0	425	att_cor_heavy_rom	1	40	160	0	425			50	heavy	-1		false	false	0	55703	true		roman	att_inf_sword_land	att_special_transportship_naval	0
att_rom_levis_armaturae		0	light	4	false	att_rom_levis_armaturae	200	0	275	att_cor_heavy_rom	1	40	160	0	275			30	very_light	-1		false	false	0	55704	true		roman	att_inf_javelin_land	att_special_transportship_naval	0
att_rom_matiarii		0	medium	4	false	att_rom_matiarii	200	0	475	att_cor_heavy_rom	1	40	160	0	475			60	medium	-1		false	false	0	55705	true		roman	att_inf_javelin_land	att_special_transportship_naval	0
att_rom_menaulatoi		0	medium	4	false	att_rom_menaulatoi	300	0	425	att_cor_heavy_rom	1	40	160	0	425			60	medium	-1		false	false	0	55706	true		roman	att_inf_pike_land	att_special_transportship_naval	0
att_rom_palatina		0	heavy	4	false	att_rom_palatina	300	0	375	att_cor_heavy_rom	1	40	160	0	375			45	heavy	-1		false	false	0	55707	true		roman	att_inf_sword_land	att_special_transportship_naval	0
att_rom_praeventores		0	medium	4	false	att_rom_praeventores	300	0	400	att_cor_heavy_rom	1	40	160	0	425			55	medium	-1		false	false	0	55708	true		roman	att_inf_sword_land	att_special_transportship_naval	0
att_rom_ravenna_elite_ballistarii		0	medium	4	false	att_rom_ravenna_elite_ballistarii	200	0	800	att_cor_heavy_rom	1	40	160	0	800			120	medium	-1		false	false	0	55709	true		roman	att_inf_crossbow_land	att_special_transportship_naval	0
att_rom_western_auxilia_palatina		0	medium	4	false	rex_rom_legionis_defensores	300	0	405	att_cor_heavy_rom	1	40	160	0	405			35	medium	-1		false	false	0	55710	true		roman	att_inf_spear_land	att_special_transportship_naval	2
att_rom_legio		4	medium	2	false	rex_rom_millites_arm	300	0	325	att_cor_heavy_rom	1	40	160	0	325			40	medium	-1		false	false	0	55702	true		roman	rex_spear_sling	att_special_transportship_naval	1
