unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/att_shp_main_units																															
att_mar_ger_elite_vandal_archer_marauders		0	light	4	false	att_mar_ger_elite_vandal_archer_marauders	160	0	150	att_lon_light_tra_ger	1	20	80	0	1500			40	light	-1		false	false	0	55527	true		barbarian	inf_mis	att_special_transportship_naval	0
att_mar_rom_byzantine_light_marines		0	light	4	false	att_mar_rom_byzantine_light_marines	160	0	0	att_cor_light_rom	1	20	80	0	0			0	light	-1		false	false	0	55528	true		roman	art_fix	att_special_transportship_naval	0
att_mar_rom_byzantine_marines		0	heavy	4	false	att_mar_rom_byzantine_marines	160	0	190	att_cor_light_rom	1	20	80	0	1900			45	heavy	-1		false	false	0	55529	true		roman	art_fix	att_special_transportship_naval	0
att_shp_alan_archers_lon_light		0	light	4	true	att_mar_alan_alani_archer_marauders	84	0	240	att_lon_light_mis_ger	1	21	84	0	2400			60	light	-1		false	false	0	55530	true		barbarian	att_inf_bow_marine	att_inf_bow_naval	0
att_shp_alan_artillery_dbl_lib_light		0	light	4	true	att_mar_alan_alani_artillery_dbl_crew	56	0	525	att_lib_light_dbl_art_ger	1	14	56	0	4000			130	very_light	-1		false	false	0	55531	true		barbarian	att_inf_sword_marine	att_art_field_naval	0
att_shp_alan_artillery_lib_light		0	light	4	true	att_mar_alan_alani_artillery_crew	56	0	525	att_lib_light_art_ger	1	14	56	0	4000			130	very_light	-1		false	false	0	55532	true		barbarian	att_inf_sword_marine	att_art_field_naval	0
att_shp_alan_boatment_dro_light_fs		0	medium	4	true	att_mar_alan_alani_light_boatmen	36	0	400	att_dro_light_mel_fs_ger	1	9	36	0	4000			100	medium	-1		false	false	0	55533	true		barbarian	att_inf_sword_marine	att_special_fireship_naval	0
att_shp_alan_boatment_lib_light_ram		0	medium	4	true	att_mar_alan_alani_light_boatmen	20	0	230	att_lib_light_ram_ger	1	5	20	0	2300			60	medium	-1		false	false	0	55534	true		barbarian	att_inf_sword_marine	att_special_ram_naval	0
att_shp_alan_boatment_lib_light_spike		0	medium	4	true	att_mar_alan_alani_light_boatmen	36	0	300	att_lib_light_spike_ram_ger	1	9	36	0	3000			75	medium	-1		false	false	0	55535	true		barbarian	att_inf_sword_marine	att_special_ram_naval	0
